Device_ID,Channel_ID,Test_Time,Step_ID,Cycle_ID,EIS_Test_ID,EIS_Data_Point,Frequency,Zmod,Zphz,Zreal,Zimg,OCV,AC_Amp_RMS,DC_Base,Driven_Type,Product_ID
25925825,2,26888.4371,11,1,0,0,0.1001,0.0229,-8.0800,0.0227,-0.0032,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,1,0.1469,0.0223,-6.7889,0.0221,-0.0026,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,2,0.2158,0.0218,-5.6009,0.0217,-0.0021,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,3,0.3167,0.0215,-4.7980,0.0214,-0.0018,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,4,0.4650,0.0212,-3.9768,0.0211,-0.0015,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,5,0.6813,0.0209,-3.5670,0.0209,-0.0013,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,6,1.0016,0.0206,-3.2375,0.0206,-0.0012,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,7,1.4834,0.0205,-3.1043,0.0205,-0.0011,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,8,2.1701,0.0203,-3.2497,0.0203,-0.0012,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,9,3.1672,0.0201,-3.6594,0.0201,-0.0013,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,10,4.6875,0.0197,-4.0581,0.0197,-0.0014,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,11,6.8934,0.0194,-4.5590,0.0193,-0.0015,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,12,9.9102,0.0190,-4.8879,0.0189,-0.0016,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,13,14.6484,0.0185,-5.0250,0.0184,-0.0016,4.1871,0.25,0,Galvanostatic,Gamry_1
25925825,2,26888.4371,11,1,0,14,21.3068,0.0180,-4.9538,0.0180,-0.0016,4.1871,0.25,0,Galvanostatic,Gamry_1
