Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/03/26 17:30:33,1800.0029,1800.0029,1.00,1.00,0.00,0.00,0.00,0,3.538363,0,0,0,,0,0,0,0,,0,0,26.14934,0.07402718,25,0,25.72976,0.005005002,
2021/03/26 19:22:59,8546.4778,6746.4377,1.00,2.00,0.00,0.00,0.00,0.04999043,4.199896,0.20995460699528,2.209885,0,3.93583478228164,8.691863,0,6737.403,0,,0,0,26.91922,0.07920265,25,0,26.62132,0.1282114,
2021/03/26 19:52:59,10346.5188,1800.0022,1.00,3.00,0.00,0.00,0.00,0,4.187772,0,2.209885,0,,8.691863,0,6737.407,0,,0,0,26.73719,-0.07098496,25,0,26.65981,0.04907489,
2021/03/26 20:51:10,13837.2677,3490.7118,1.00,4.00,0.00,0.00,0.00,-3.004921,2.499975,-7.512227376975,2.209885,2.908911,3.59149393009838,8.691864,10.39299,6737.431,3485.783,,131.63,63.237196,31.35944,-0.1166642,25,0,26.65854,-0.04669011,
2021/03/26 21:21:10,15637.3179,1800.0028,1.00,6.00,0.00,0.00,0.00,0,2.970067,0,2.209885,2.908919,,8.691864,10.39301,6737.431,3485.792,,131.63,63.23737,27.33294,0.1074207,25,0,26.67254,0.07641971,
2021/03/26 23:44:47,24254.6136,8617.2577,1.00,7.00,0.00,0.00,0.00,0.04999696,4.200018,0.20998813194528,5.138558,2.908947,3.80862876889344,19.8762,10.3931,15342.92,3485.826,,56.61,63.237978,26.72802,-0.01399755,25,0,26.31608,-0.1074344,
2021/03/27 00:14:47,26054.6563,1800.0023,1.00,8.00,0.00,0.00,0.00,0,4.188132,0,5.138558,2.908947,,19.8762,10.3931,15342.93,3485.826,,56.61,63.237978,26.42624,-0.07466376,25,0,26.03541,-0.04575729,
2021/03/27 00:14:49,26056.7220,2.0308,1.00,9.00,0.00,0.00,0.00,0.2500409,4.193541,1.0485567658269,5.138558,2.908947,-∞,19.8762,10.3931,15342.93,3485.826,,56.61,63.237978,26.4362461917268,-0.0695615455281785,25,0,26.0537373750885,-0.03869673948276,
2021/03/27 00:24:49,26656.7622,600.0029,1.00,10.00,0.00,0.00,0.00,0,4.186948,0,5.138558,2.908947,,19.8762,10.3931,15342.93,3485.826,,56.61,63.237978,26.46227,0.006082058,25,0,26.07859,-0.0807184,
2021/03/27 00:38:45,27491.9898,600.0031,1.00,12.00,0.00,0.00,0.00,0,4.186173,0,5.138558,2.908947,,19.8762,10.3931,15342.93,3485.826,,56.61,63.237978,26.54776,0.0358206,25,0,26.3778,0.1337874,
