Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
1,2021/03/26 17:01:33,60.0016,60.0016,1,1,0,0,0,0,3.538305,0,0,0,0,0,,-0.0000100360102806007,,,,3,-1,0.5,4.19999980926514,2.5,0.0500000007450581,0,0,25.42391,0.1486129,25,0,25.74574,0.0169909
2,2021/03/26 17:02:33,120.0006,120.0006,1,1,0,0,0,0,3.538721,0,0,0,0,0,,-0.0000141067903314251,,,,,,,,,,,,25.11701,-0.07206857,25,0,25.87402,0.08842409
3,2021/03/26 17:03:33,180.0004,180.0004,1,1,0,0,0,0,3.53858,0,0,0,0,0,,-0.0000011063319789173,,0,0,,,,,,,,,25.42881,0.06145775,25,0,25.85756,0.1394147
4,2021/03/26 17:04:33,240.0004,240.0004,1,1,0,0,0,0,3.538679,0,0,0,0,0,,0.00000731012005417142,,,,,,,,,,,,25.14381,-0.1145595,25,0,25.74396,0.03704727
5,2021/03/26 17:05:33,300.0003,300.0003,1,1,0,0,0,0,3.538554,0,0,0,0,0,,-0.0000109052798507037,,0,0,,,,,,,,,25.3771,-0.04821062,25,0,25.89856,0.1122367
6,2021/03/26 17:06:33,360.0009,360.0009,1,1,0,0,0,0,3.538589,0,0,0,0,0,,0.0000102336598502006,,,,,,,,,,,,25.24283,-0.1216495,25,0,25.61469,-0.06587565
7,2021/03/26 17:07:33,420.0016,420.0016,1,1,0,0,0,0,3.538562,0,0,0,0,0,,-0.000015882980733295,,0,0,,,,,,,,,25.38423,-0.1161718,25,0,25.84866,0.0353682
8,2021/03/26 17:08:33,480.0006,480.0006,1,1,0,0,0,0,3.538594,0,0,0,0,0,,0.00000521591300639557,,,,,,,,,,,,25.54609,-0.09108067,25,0,25.97473,0.06041229
9,2021/03/26 17:09:33,540.0005,540.0005,1,1,0,0,0,0,3.53861,0,0,0,0,0,,-0.000000711219627191895,,0,0,,,,,,,,,25.7689,0.03355443,25,0,26.03349,0.1271033
10,2021/03/26 17:10:33,600.0004,600.0004,1,1,0,0,0,0,3.538581,0,0,0,0,0,,0.0000018175760487793,,,,,,,,,,,,25.98188,0.0998342,25,0,25.82239,-0.08324087
11,2021/03/26 17:11:33,660.001,660.001,1,1,0,0,0,0,3.538397,0,0,0,0,0,,0.00000873212320584571,,0,0,,,,,,,,,26.01523,0.09660184,25,0,25.68336,-0.04898012
12,2021/03/26 17:12:33,720,720,1,1,0,0,0,0,3.53841,0,0,0,0,0,,-0.0000198746402020333,,,,,,,,,,,,26.02548,0.0817126,25,0,25.99074,0.003753901
13,2021/03/26 17:13:33,780.0008,780.0008,1,1,0,0,0,0,3.538535,0,0,0,0,0,,0.0000222453691094415,,0,0,,,,,,,,,25.69673,0.03160715,25,0,25.99699,0.09621501
14,2021/03/26 17:14:33,840.0007,840.0007,1,1,0,0,0,0,3.538651,0,0,0,0,0,,-0.0000043460540837259,,,,,,,,,,,,25.84689,-0.06919086,25,0,25.66955,-0.07138908
15,2021/03/26 17:15:33,900.0004,900.0004,1,1,0,0,0,0,3.538458,0,0,0,0,0,,-0.000000592678077282471,,0,0,,,,,,,,,25.75605,0.006273985,25,0,26.02777,0.115394
16,2021/03/26 17:16:33,960.0005,960.0005,1,1,0,0,0,0,3.538604,0,0,0,0,0,,-0.0000065195131355722,,,,,,,,,,,,26.08073,0.08116424,25,0,26.06024,-0.01238942
17,2021/03/26 17:17:33,1020.0002,1020.0002,1,1,0,0,0,0,3.538607,0,0,0,0,0,,-0.0000119332798931282,,0,0,,,,,,,,,26.10614,0.07933855,25,0,26.12128,-0.01198471
18,2021/03/26 17:18:33,1080.0009,1080.0009,1,1,0,0,0,0,3.538527,0,0,0,0,0,,-0.0000185707303899108,,,,,,,,,,,,25.75739,-0.06650925,25,0,25.88659,0.0403589
19,2021/03/26 17:19:33,1140,1140,1,1,0,0,0,0,3.538558,0,0,0,0,0,,-0.00000825763891043607,,0,0,,,,,,,,,26.01534,-0.06516039,25,0,25.78817,-0.1141208
20,2021/03/26 17:20:33,1200.0007,1200.0007,1,1,0,0,0,0,3.538493,0,0,0,0,0,,-0.0000250112207140774,,,,,,,,,,,,25.93383,0.04286051,25,0,26.11285,0.0696069
21,2021/03/26 17:21:33,1260.0005,1260.0005,1,1,0,0,0,0,3.538498,0,0,0,0,0,,-0.0000316474397550337,,0,0,,,,,,,,,25.87903,0.04104793,25,0,26.09369,0.116778
22,2021/03/26 17:22:33,1320.0012,1320.0012,1,1,0,0,0,0,3.538451,0,0,0,0,0,,-0.0000152508200699231,,,,,,,,,,,,25.94629,0.07846951,25,0,26.13956,0.09186924
23,2021/03/26 17:23:33,1380.0002,1380.0002,1,1,0,0,0,0,3.538608,0,0,0,0,0,,-0.0000203499603230739,,0,0,,,,,,,,,25.78278,0.00208199,25,0,25.90484,0.1045263
24,2021/03/26 17:24:33,1440.001,1440.001,1,1,0,0,0,0,3.538631,0,0,0,0,0,,-0.0000287663096969482,,,,,,,,,,,,26.20591,0.01685202,25,0,25.67231,-0.1012045
25,2021/03/26 17:25:33,1500.0008,1500.0008,1,1,0,0,0,0,3.538419,0,0,0,0,0,,0.00000130390299091232,,0,0,,,,,,,,,25.79303,-0.08057177,25,0,26.13866,0.02406061
