Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
1,2021/03/28 11:01:08,120.0009,120.0009,1,1,0,0,0,0,3.062073,0,0,0,0,0,,0.00000458322483609663,,,,3,-0.5,0.5,0.0399999991059303,4.19999980926514,2.5,0.0500000007450581,0,26.54841,-0.08842468,25,0,26.55641,0.0895083
2,2021/03/28 11:03:08,240.0003,240.0003,1,1,0,0,0,0,3.061831,0,0,0,0,0,,-0.00000568985115023679,,0,0,,,,,,,,,26.59238,-0.0592339,25,0,26.16607,-0.09933412
3,2021/03/28 11:05:08,360.0002,360.0002,1,1,0,0,0,0,3.062059,0,0,0,0,0,,0.0000063614638747822,,0,0,,,,,,,,,26.51617,-0.02114654,25,0,26.53841,0.1435143
4,2021/03/28 11:07:08,480.0002,480.0002,1,1,0,0,0,0,3.062046,0,0,0,0,0,,-0.0000111812096292851,,0,0,,,,,,,,,26.32479,-0.1484513,25,0,26.17612,-0.06397367
5,2021/03/28 11:09:08,600.0009,600.0009,1,1,0,0,0,0,3.062115,0,0,0,0,0,,-0.00000655913390801288,,0,0,,,,,,,,,26.69297,0.05166531,25,0,26.60135,-0.09266019
6,2021/03/28 11:11:08,720.0011,720.0011,1,1,0,0,0,0,3.062104,0,0,0,0,0,,0.00000810006804385921,,0,0,,,,,,,,,26.47316,-0.07714629,25,0,26.23908,0.06738365
7,2021/03/28 11:13:08,840.0001,840.0001,1,1,0,0,0,0,3.06203,0,0,0,0,0,,-0.0000105498402263038,,0,0,,,,,,,,,26.75215,-0.09663701,25,0,26.24765,-0.09442866
8,2021/03/28 11:15:08,960.0001,960.0001,1,1,0,0,0,0,3.062269,0,0,0,0,0,,-0.0000146986603795085,,0,0,,,,,,,,,26.4877,-0.1102883,25,0,26.26787,0.01643121
9,2021/03/28 11:17:08,1080.0001,1080.0001,1,1,0,0,0,0,3.062074,0,0,0,0,0,,0.00000486008093503187,,0,0,,,,,,,,,26.7785,-0.08885324,25,0,26.23842,-0.06218731
10,2021/03/28 11:19:08,1200.0011,1200.0011,1,1,0,0,0,0,3.062159,0,0,0,0,0,,-0.0000146590300573735,,0,0,,,,,,,,,27.00736,0.1125181,25,0,26.68817,0.005809069
