Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/04/07 17:56:55,3600.0021,3600.0021,1.00,1.00,0.00,0.00,0.00,0,2.989058,0,0,0,,0,0,0,0,,0,0,14.89036,-0.1094836,13,0,14.28524,-0.07986426,
2021/04/07 20:26:20,12565.0333,8964.9910,1.00,2.00,0.00,0.00,0.00,0.04999501,4.200183,0.20998819108683,2.893071,7.714086E-06,3.83146157949326,11.12837,2.305814E-05,8959.134,0.0382,,0,0.000168,15.26982,-0.1111907,13,0,15.25016,0.08051068,
2021/04/07 20:56:20,14365.0725,1800.0023,1.00,3.00,0.00,0.00,0.00,0,4.185353,0,2.893071,7.714086E-06,,11.12837,2.305814E-05,8959.138,0.0382,,0,0.000168,15.23643,-0.03803194,13,0,14.69747,-0.1247123,
2021/04/07 22:48:32,21097.1201,6732.0065,1.00,4.00,0.00,0.00,0.00,-1.504097,2.499977,-3.760207905769,2.893071,2.810235,3.63889155232468,11.12837,10.1732,8959.163,6728.05,,97.14,61.092065,17.51248,-0.09890556,13,0,14.55097,-0.0858587,
2021/04/08 01:21:22,30267.2206,9170.0843,1.00,6.00,0.00,0.00,0.00,0.04999948,4.199991,0.20999736600468,5.723654,2.810242,3.83279245835773,21.99617,10.17322,18122.86,6728.081,,49.1,61.092217,15.16845,0.1276043,13,0,14.38864,-0.08601815,
2021/04/08 01:21:24,30269.2944,2.0246,1.00,7.00,0.00,0.00,0.00,0.2500349,4.205286,1.0514682644814,5.723654,2.810242,-∞,21.99617,10.17322,18122.86,6728.081,,49.1,61.092217,15.1673105446699,0.126657312603428,13,0,14.3946029838573,-0.0853399828160686,
2021/04/08 03:21:24,37469.3361,7200.0022,1.00,8.00,0.00,0.00,0.00,0,4.179164,0,5.723654,2.810242,,21.99617,10.17322,18122.86,6728.081,,49.1,61.092217,14.61967,-0.1240197,13,0,14.62058,0.03107697,
2021/04/09 03:57:05,126010.0456,88540.6684,1.00,9.00,0.00,0.00,0.00,-0.1147308,2.499991,-0.2868259674228,5.723657,5.617061,3.70380385878852,21.99618,20.51763,18122.91,95216.6,,98.14,122.110022,14.92415,0.05109161,13,0,14.26793,-0.0903824,
2021/04/09 05:57:05,133210.0884,7200.0026,1.00,10.00,0.00,0.00,0.00,0,2.766999,0,5.723657,5.617061,,21.99618,20.51763,18122.91,95216.61,,98.14,122.110022,14.8145,0.06972879,13,0,14.3335,-0.06261528,
2021/04/10 08:51:54,230099.5396,96889.4111,1.00,11.00,0.00,0.00,0.00,0.1112137,4.200028,0.4671006539836,8.701074,5.617062,3.74346654870827,33.18025,20.51763,114954.6,95216.64,,64.56,122.110043,14.57445,0.026173,13,0,14.17359,-0.07883906,
