Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/04/10 11:14:18,3600.0029,3600.0029,1.00,1.00,0.00,0.00,0.00,0,4.177059,0,0,0,,0,0,0,0,,0,0,14.92247,-0.03807425,13,0,14.23702,-0.1248536,
2021/04/10 11:21:43,4044.8768,444.8375,1.00,2.00,0.00,0.00,0.00,0.04999622,4.199765,0.2099723748883,0.0172859,0,4.19998669077756,0.07260056,0,444.5188,0,,0,0,14.91517,-0.1122275,13,0,14.28817,-0.1145694,
2021/04/10 11:51:43,5844.9182,1800.0044,1.00,3.00,0.00,0.00,0.00,0,4.192584,0,0.01728596,0,,0.07260078,0,444.5227,0,,0,0,14.86182,0.1100171,13,0,14.49043,0.07356703,
2021/04/10 15:37:25,19386.7665,13541.8071,1.00,4.00,0.00,0.00,0.00,-0.7530746,2.499948,-1.8826473401208,0.017286,2.830253,3.67861876346807,0.07260098,10.35351,444.5467,13533.64,,16373.09,61.527239,16.41223,0.1334655,13,0,14.60598,0.07462382,
2021/04/10 16:07:25,21186.8160,1800.0022,1.00,6.00,0.00,0.00,0.00,0,2.916026,0,0.017286,2.830255,,0.07260098,10.35351,444.5467,13533.65,,16373.1,61.527283,14.85206,-0.07599264,13,0,14.634,0.05172402,
2021/04/10 18:39:38,30319.8360,9132.9827,1.00,7.00,0.00,0.00,0.00,0.04999984,4.19989,0.2099938280176,2.859142,2.830262,3.8313633116052,10.98544,10.35354,9571.749,13533.68,,98.99,61.527435,14.65272,-0.1010826,13,0,14.24463,0.01977235,
2021/04/10 21:39:38,41119.8777,10800.0008,1.00,8.00,0.00,0.00,0.00,0,4.177941,0,2.859142,2.830262,,10.98544,10.35354,9571.752,13533.68,,98.99,61.527435,14.6278,0.005915165,13,0,14.43154,0.1086518,
2021/04/10 21:51:38,41839.9176,720.0042,1.00,9.00,0.00,0.00,0.00,-0.7091064,4.064157,-2.8819197393048,2.859142,2.971999,2.86943086127019,10.98544,10.93325,9571.785,14253.02,,103.95,64.608674,14.96823,0.1353168,13,0,14.20978,0.03957123,
2021/04/11 00:51:38,52639.9604,10800.0018,1.00,10.00,0.00,0.00,0.00,0,4.107948,0,2.859142,2.971999,,10.98544,10.93325,9571.785,14253.03,,103.95,64.608674,14.86137,0.02995342,13,0,14.16852,-0.1435024,
2021/04/11 01:03:38,53360.0101,720.0037,1.00,9.00,1.00,0.00,0.00,-0.7087555,4.041963,-2.8647635070465,2.859142,3.113709,,10.98544,11.50779,9571.785,14972.43,,108.9,67.689326,14.67988,-0.105814,13,0,14.13296,0.02646148,
2021/04/11 04:03:38,64160.0540,10800.0029,1.00,10.00,1.00,0.00,0.00,0,4.086314,0,2.859142,3.113709,,10.98544,11.50779,9571.785,14972.43,,108.9,67.689326,14.4008,-0.1007733,13,0,14.14598,0.01785338,
2021/04/11 04:15:38,64880.1049,720.0048,1.00,9.00,2.00,0.00,0.00,-0.7092438,4.016788,-2.8488819849144,2.859142,3.255434,,10.98544,12.0794,9571.813,15691.77,,113.86,70.770304,15.07331,0.02833068,13,0,14.51956,0.103707,
2021/04/11 07:15:38,75680.1494,10800.0010,1.00,10.00,2.00,0.00,0.00,0,4.065901,0,2.859142,3.255435,,10.98544,12.0794,9571.813,15691.77,,113.86,70.770326,14.83731,-0.03487498,13,0,14.14443,-0.1604587,
2021/04/11 07:27:38,76400.1955,720.0034,1.00,9.00,3.00,0.00,0.00,-0.7092667,3.968324,-2.8146000680108,2.859142,3.397199,,10.98544,12.64609,9571.816,16411.16,,118.82,73.852152,14.89995,0.07497311,13,0,14.51399,0.08194685,
2021/04/11 10:27:38,87200.2387,10800.0024,1.00,10.00,3.00,0.00,0.00,0,4.021185,0,2.859142,3.3972,,10.98544,12.64609,9571.816,16411.16,,118.82,73.852174,14.41629,-0.05182713,13,0,13.89831,-0.05868882,
2021/04/11 10:39:38,87920.2867,720.0028,1.00,9.00,4.00,0.00,0.00,-0.7087173,3.910421,-2.7713830129833,2.859142,3.538939,,10.98544,13.20497,9571.816,17130.53,,123.78,76.933457,14.57933,0.03262848,13,0,13.98112,-0.08611321,
2021/04/11 13:39:39,98720.3301,10800.0015,1.00,10.00,4.00,0.00,0.00,0,3.970118,0,2.859142,3.538939,,10.98544,13.20497,9571.816,17130.54,,123.78,76.933457,14.67537,0.07105052,13,0,14.04074,-0.09103566,
2021/04/11 13:51:39,99440.3770,720.0024,1.00,9.00,5.00,0.00,0.00,-0.7090149,3.859354,-2.7363394903746,2.859142,3.680663,,10.98544,13.75619,9571.821,17849.9,,128.73,80.014413,14.56631,-0.1030171,13,0,14.03387,0.01104206,
2021/04/11 16:51:39,110240.4221,10800.0027,1.00,10.00,5.00,0.00,0.00,0,3.926754,0,2.859142,3.680663,,10.98544,13.75619,9571.821,17849.9,,128.73,80.014413,14.65289,-0.06300151,13,0,14.13026,-0.1155263,
2021/04/11 17:03:39,110960.4692,720.0036,1.00,9.00,6.00,0.00,0.00,-0.7096024,3.816304,-2.7080584775296,2.859496,3.822397,,10.98683,14.30117,9571.844,18569.28,,133.67,83.095587,14.5402,0.08109987,13,0,13.94925,-0.01706809,
2021/04/11 20:03:39,121760.5144,10800.0027,1.00,10.00,6.00,0.00,0.00,0,3.889539,0,2.859496,3.822398,,10.98683,14.30117,9571.844,18569.29,,133.67,83.095609,14.65405,-0.07877618,13,0,14.00476,-0.1313955,
2021/04/11 20:15:39,122480.5624,720.0034,1.00,9.00,7.00,0.00,0.00,-0.7091446,3.774102,-2.6763840531492,2.859496,3.964112,,10.98683,14.84034,9571.844,19288.65,,138.63,86.176348,14.7877,0.06052524,13,0,14.58421,0.08116156,
2021/04/11 23:15:39,133280.6067,10800.0027,1.00,10.00,7.00,0.00,0.00,0,3.829041,0,2.859496,3.964112,,10.98683,14.84034,9571.844,19288.66,,138.63,86.176348,14.91943,0.08890212,13,0,14.28513,0.06161213,
2021/04/11 23:27:39,134000.6520,720.0026,1.00,9.00,8.00,0.00,0.00,-0.7087402,3.727468,-2.6418064158136,2.859496,4.105847,,10.98683,15.37269,9571.844,20008.04,,143.59,89.257543,14.45232,-0.07623881,13,0,14.46784,0.06297886,
2021/04/12 02:27:39,144800.6963,10800.0023,1.00,10.00,8.00,0.00,0.00,0,3.768035,0,2.859496,4.105847,,10.98683,15.37269,9571.844,20008.04,,143.59,89.257543,14.82741,0.0338617,13,0,14.1199,-0.1396102,
2021/04/12 02:39:39,145520.7456,720.0034,1.00,9.00,9.00,0.00,0.00,-0.7091446,3.67872,-2.608744422912,2.859496,4.247575,,10.98683,15.8978,9571.844,20727.42,,148.54,92.338587,14.68797,0.04452527,13,0,14.37488,0.02173841,
2021/04/12 05:39:39,156320.7896,10800.0023,1.00,10.00,9.00,0.00,0.00,0,3.721277,0,2.859496,4.247575,,10.98683,15.89781,9571.844,20727.42,,148.54,92.338587,14.47679,-0.02839208,13,0,14.14162,-0.09461939,
2021/04/12 05:51:39,157040.8373,720.0026,1.00,9.00,10.00,0.00,0.00,-0.7089767,3.633801,-2.5762802414367,2.859496,4.389299,,10.98683,16.41624,9571.87,21446.76,,153.5,95.419543,14.55092,-0.08855492,13,0,14.34002,-0.05665064,
2021/04/12 08:51:39,167840.8795,10800.0020,1.00,10.00,10.00,0.00,0.00,0,3.680402,0,2.859496,4.389299,,10.98683,16.41624,9571.87,21446.76,,153.5,95.419543,14.21422,0.0009849668,13,0,13.75453,-0.1338172,
2021/04/12 09:03:39,168560.9257,720.0033,1.00,9.00,11.00,0.00,0.00,-0.7088165,3.596416,-2.549199001664,2.859496,4.531036,,10.98683,16.92904,9571.87,22166.17,,158.46,98.500783,14.12783,-0.1087907,13,0,13.77047,0.01220882,
2021/04/12 12:03:39,179360.9708,10800.0019,1.00,10.00,11.00,0.00,0.00,0,3.648922,0,2.859496,4.531036,,10.98683,16.92904,9571.87,22166.17,,158.46,98.500783,14.27155,0.001708567,13,0,14.08976,0.1319689,
2021/04/12 12:15:39,180081.0174,720.0021,1.00,9.00,12.00,0.00,0.00,-0.7089005,3.563857,-2.5264200092285,2.859496,4.672762,,10.98683,17.43721,9571.88,22885.56,,163.41,101.581783,14.36798,0.09847939,13,0,13.71737,-0.04698634,
2021/04/12 15:15:39,190881.0617,10800.0016,1.00,10.00,12.00,0.00,0.00,0,3.623172,0,2.859496,4.672763,,10.98683,17.43721,9571.88,22885.56,,163.41,101.581804,14.25443,-0.07809103,13,0,13.81672,-0.04161179,
2021/04/12 15:27:39,191601.1094,720.0043,1.00,9.00,13.00,0.00,0.00,-0.7093201,3.5269,-2.50170106069,2.859496,4.814486,,10.98683,17.94103,9571.88,23604.92,,168.37,104.662739,14.76936,0.07786512,13,0,14.09099,-0.01800895,
2021/04/12 18:27:39,202401.1530,10800.0019,1.00,10.00,13.00,0.00,0.00,0,3.575434,0,2.859496,4.814487,,10.98683,17.94103,9571.88,23604.93,,168.37,104.662761,14.16252,-0.1086751,13,0,13.62962,0.01005948,
2021/04/12 18:39:39,203121.1989,720.0023,1.00,9.00,14.00,0.00,0.00,-0.7091446,3.469409,-2.4603126575414,2.859496,4.956213,,10.98683,18.43741,9571.902,24324.27,,173.32,107.743761,14.63206,0.1049873,13,0,13.74872,0.04343837,
2021/04/12 21:39:39,213921.2422,10800.0024,1.00,10.00,14.00,0.00,0.00,0,3.514505,0,2.859496,4.956213,,10.98683,18.43741,9571.902,24324.27,,173.32,107.743761,14.88542,-0.06641418,13,0,14.36797,-0.1463273,
2021/04/12 21:51:39,214641.2891,720.0033,1.00,9.00,15.00,0.00,0.00,-0.7092056,3.428158,-2.4312688512848,2.859496,5.097931,,10.98683,18.92674,9571.902,25043.65,,178.28,110.824587,15.28351,0.05342484,13,0,14.51477,-0.0232175,
2021/04/13 00:51:40,225441.3326,10800.0010,1.00,10.00,15.00,0.00,0.00,0,3.478187,0,2.859496,5.097931,,10.98683,18.92674,9571.902,25043.65,,178.28,110.824587,14.65498,-0.02324671,13,0,14.44413,0.06803125,
