Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
1,2021/04/10 10:15:18,60.0002,60.0002,1,1,0,0,0,0,4.179083,0,0,0,0,0,,0.0000166742902365513,,,,3,-0.25,0.5,4.19999980926514,2.5,0.0500000007450581,0,0,14.95772,-0.01854807,13,0,14.30886,-0.1052886
2,2021/04/10 10:16:18,120.0006,120.0006,1,1,0,0,0,0,4.178932,0,0,0,0,0,,-0.00000972000088950153,,,,,,,,,,,,15.05616,0.05497456,13,0,14.23186,-0.05913168
3,2021/04/10 10:17:18,180.0005,180.0005,1,1,0,0,0,0,4.178768,0,0,0,0,0,,-0.0000209412901313044,,0,0,,,,,,,,,15.08147,0.09063572,13,0,14.2521,-0.02799809
4,2021/04/10 10:18:18,240.0003,240.0003,1,1,0,0,0,0,4.179082,0,0,0,0,0,,0.000000711207690073934,,,,,,,,,,,,15.06787,0.02903551,13,0,14.59443,0.1021135
5,2021/04/10 10:19:18,300.0002,300.0002,1,1,0,0,0,0,4.1791,0,0,0,0,0,,-0.00000687518013364752,,0,0,,,,,,,,,15.04721,0.04628778,13,0,14.54455,0.101133
6,2021/04/10 10:20:18,360.0008,360.0008,1,1,0,0,0,0,4.178771,0,0,0,0,0,,-0.00000853470555739477,,,,,,,,,,,,14.8699,-0.05084991,13,0,14.68105,0.05406886
7,2021/04/10 10:21:18,420.0006,420.0006,1,1,0,0,0,0,4.178625,0,0,0,0,0,,-0.0000209414592973189,,0,0,,,,,,,,,14.96792,-0.01785606,13,0,14.62582,0.09395629
8,2021/04/10 10:22:18,480.0005,480.0005,1,1,0,0,0,0,4.178679,0,0,0,0,0,,-0.0000218109107663622,,,,,,,,,,,,15.05626,-0.01707852,13,0,14.77991,0.07872462
9,2021/04/10 10:23:18,540.0002,540.0002,1,1,0,0,0,0,4.178822,0,0,0,0,0,,-0.0000128808696899796,,0,0,,,,,,,,,15.10266,0.07364273,13,0,14.36635,0.05549043
10,2021/04/10 10:24:18,600.0001,600.0001,1,1,0,0,0,0,4.178818,0,0,0,0,0,,0.0000269453103101114,,,,,,,,,,,,14.59666,-0.03862947,13,0,14.42231,-0.05689889
11,2021/04/10 10:25:18,660,660,1,1,0,0,0,0,4.178556,0,0,0,0,0,,0.0000173853695741855,,0,0,,,,,,,,,14.58771,0.009818375,13,0,14.17955,-0.06095648
12,2021/04/10 10:26:18,720.0006,720.0006,1,1,0,0,0,0,4.17852,0,0,0,0,0,,-0.0000038722268982383,,,,,,,,,,,,14.75122,0.05407035,13,0,14.14592,-0.0486365
13,2021/04/10 10:27:18,780.0005,780.0005,1,1,0,0,0,0,4.178477,0,0,0,0,0,,-0.0000180965907929931,,0,0,,,,,,,,,14.82348,0.04256308,13,0,14.20366,-0.05100697
14,2021/04/10 10:28:18,840.0003,840.0003,1,1,0,0,0,0,4.178597,0,0,0,0,0,,-0.00000782335064286599,,,,,,,,,,,,14.71499,-0.08543968,13,0,14.58449,-0.01931727
15,2021/04/10 10:29:18,900.0009,900.0009,1,1,0,0,0,0,4.178583,0,0,0,0,0,,-0.00000410926895710872,,0,0,,,,,,,,,14.68093,-0.05943418,13,0,14.44818,-0.04349321
