Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/04/14 16:51:33,9855.7805,9855.7805,1.00,2.00,0.00,0.00,0.00,0.04999829,4.199848,0.20998521825992,2.828424,6.933707E-06,3.863503915336,10.96805,2.091497E-05,9848.947,0.0352,,0,0.000151,4.577815,-0.1230532,4,0,4.407031,0.03553078,
2021/04/14 17:21:33,11655.8214,1800.0022,1.00,3.00,0.00,0.00,0.00,0,4.181935,0,2.828424,6.933707E-06,,10.96805,2.091497E-05,9848.952,0.0352,,0,0.000151,4.762774,-0.09239271,4,0,4.813231,0.1378979,
2021/04/14 21:00:29,24792.1691,13136.3098,1.00,4.00,0.00,0.00,0.00,-0.7535172,2.499984,-1.8837809437248,2.828424,2.745371,3.66647810703153,10.96805,10.01101,9848.978,13127.29,,97.06,59.681978,7.591698,0.04866585,4,0,5.23606,0.05358219,
2021/04/14 21:30:29,26592.2164,1800.0033,1.00,6.00,0.00,0.00,0.00,0,3.035892,0,2.828424,2.745373,,10.96805,10.01101,9848.978,13127.31,,97.06,59.682022,5.738347,0.07764116,4,0,5.441371,0.09872168,
2021/04/15 00:20:16,36778.5159,10186.2584,1.00,7.00,0.00,0.00,0.00,0.04999932,4.199928,0.20999354404896,5.599089,2.745381,3.86171944185416,21.69551,10.01103,20027.36,13127.34,,49.03,59.682196,5.862314,0.1082328,4,0,4.999013,0.05714104,
2021/04/15 00:20:18,36780.5961,2.0303,1.00,8.00,0.00,0.00,0.00,0.2500395,4.206513,1.0517944072635,5.599089,2.745381,,21.69551,10.01103,20027.37,13127.34,,49.03,59.682196,5.86220073486107,0.108384875490431,4,0,5.00135942686903,0.0570192537417866,
2021/04/15 02:20:18,43980.6334,7200.0020,1.00,9.00,0.00,0.00,0.00,0,4.17355,0,5.599089,2.745381,,21.69551,10.01103,20027.37,13127.34,,49.03,59.682196,5.346794,-0.09496137,4,0,5.243388,0.005139261,
2021/04/16 02:53:05,132348.2501,88367.5762,1.00,10.00,0.00,0.00,0.00,-0.1123047,2.499988,-0.2807604023436,5.599092,5.497831,3.70304379900211,21.69552,20.15725,20027.42,101442.4,,98.19,119.518065,5.411273,-0.02933517,4,0,4.978108,0.001164377,
2021/04/16 04:53:05,139548.2898,7200.0011,1.00,11.00,0.00,0.00,0.00,0,2.819261,0,5.599092,5.497831,,21.69552,20.15725,20027.42,101442.4,,98.19,119.518065,5.322782,0.08681089,4,0,4.510701,-0.08800596,
2021/04/17 07:43:13,236155.7790,96607.4497,1.00,12.00,0.00,0.00,0.00,0.1091309,4.200006,0.4583504347854,8.515645,5.497833,3.7497411842661,32.67359,20.15726,116578,101442.4,,64.56,119.518109,5.4808,0.02089575,4,0,4.698859,-0.07701367,
2021/04/17 11:13:13,248755.8238,12600.0022,1.00,13.00,0.00,0.00,0.00,0,4.165458,0,8.515645,5.497833,,32.67359,20.15726,116578,101442.4,,64.56,119.518109,4.983769,-0.00870809,4,0,4.350347,-0.1137,
2021/04/17 11:25:13,249475.8615,720.0021,1.00,14.00,0.00,0.00,0.00,-0.6893463,4.041912,-2.7862770821256,8.515645,5.635531,2.85143068959865,32.67359,20.71685,116578,102161.5,,66.18,122.511543,5.091123,-0.06197199,4,0,4.853399,0.06854579,
2021/04/17 14:55:13,262075.9012,12600.0011,1.00,15.00,0.00,0.00,0.00,0,4.104391,0,8.515645,5.635532,,32.67359,20.71686,116578,102161.5,,66.18,122.511565,4.617482,-0.09546936,4,0,4.379508,-0.07219732,
2021/04/17 15:07:13,262795.9447,720.0033,1.00,14.00,1.00,0.00,0.00,-0.6897125,4.021199,-2.7734712152875,8.515645,5.773244,,32.67359,21.27248,116578,102880.5,,67.8,125.505304,4.796742,-0.08000672,4,0,4.59115,0.09991348,
2021/04/17 18:37:13,275395.9841,12600.0009,1.00,15.00,1.00,0.00,0.00,0,4.084377,0,8.515645,5.773245,,32.67359,21.27248,116578,102880.5,,67.8,125.505326,4.822934,-0.01122743,4,0,4.680722,0.09141088,
2021/04/17 18:49:13,276116.0282,720.0028,1.00,14.00,2.00,0.00,0.00,-0.6894836,3.994311,-2.7540119277996,8.515645,5.91095,,32.67359,21.82519,116578.1,103599.6,,69.41,128.498913,4.884436,-0.1201424,4,0,4.347973,-0.07364154,
2021/04/17 22:19:13,288716.0697,12600.0019,1.00,15.00,2.00,0.00,0.00,0,4.063332,0,8.515645,5.910951,,32.67359,21.8252,116578.1,103599.6,,69.41,128.498935,5.318399,-0.08401468,4,0,4.991316,0.1023754,
2021/04/17 22:31:13,289436.1187,720.0023,1.00,14.00,3.00,0.00,0.00,-0.6891785,3.945987,-2.7194894016795,8.515645,6.048636,,32.67359,22.3728,116578.1,104318.7,,71.03,131.492087,5.712161,0.08267835,4,0,4.930624,0.03854573,
2021/04/18 02:01:13,302036.1593,12600.0019,1.00,15.00,3.00,0.00,0.00,0,4.019106,0,8.515645,6.048637,,32.67359,22.3728,116578.1,104318.7,,71.03,131.492109,5.043619,0.0466527,4,0,4.753645,0.1236786,
2021/04/18 02:13:13,302756.2057,720.0021,1.00,14.00,4.00,0.00,0.00,-0.689827,3.889717,-2.683231808959,8.515645,6.186346,,32.67359,22.91316,116578.1,105037.7,,72.65,134.485783,5.399849,0.006211549,4,0,4.722245,0.07853076,
2021/04/18 05:43:13,315356.2446,12600.0010,1.00,15.00,4.00,0.00,0.00,0,3.969209,0,8.515645,6.186347,,32.67359,22.91316,116578.1,105037.7,,72.65,134.485804,5.40536,-0.0163646,4,0,4.921733,0.08386821,
2021/04/18 05:55:13,316076.2892,720.0027,1.00,14.00,5.00,0.00,0.00,-0.6895065,3.841683,-2.6488653994395,8.515645,6.324042,,32.67359,23.44644,116578.1,105756.8,,74.26,137.479174,5.185411,-0.08453488,4,0,4.828391,-0.0006993115,
2021/04/18 09:25:13,328676.3287,12600.0017,1.00,15.00,5.00,0.00,0.00,0,3.927159,0,8.515645,6.324043,,32.67359,23.44644,116578.1,105756.8,,74.26,137.479196,4.894397,-0.04764169,4,0,4.641646,-0.01735508,
2021/04/18 09:37:13,329396.3764,720.0032,1.00,14.00,6.00,0.00,0.00,-0.6893463,3.801442,-2.6205099773646,8.515645,6.46172,,32.67359,23.97389,116578.1,106475.8,,75.88,140.472174,5.184958,0.05569682,4,0,4.701095,0.1164263,
2021/04/18 13:07:14,341996.4157,12600.0021,1.00,15.00,6.00,0.00,0.00,0,3.890759,0,8.515645,6.46172,,32.67359,23.9739,116578.1,106475.8,,75.88,140.472174,4.621995,-0.1092723,4,0,4.257056,-0.1186909,
2021/04/18 13:19:14,342716.4592,720.0023,1.00,14.00,7.00,0.00,0.00,-0.6895599,3.760751,-2.5932630834849,8.515645,6.599418,,32.67359,24.49607,116578.1,107194.9,,77.5,143.465609,4.821996,0.07541329,4,0,4.546809,0.03581017,
2021/04/18 16:49:14,355316.4982,12600.0020,1.00,15.00,7.00,0.00,0.00,0,3.835857,0,8.515645,6.599419,,32.67359,24.49608,116578.1,107194.9,,77.5,143.46563,4.918017,-0.09661674,4,0,4.142563,-0.09202912,
2021/04/18 17:01:14,356036.5441,720.0031,1.00,14.00,8.00,0.00,0.00,-0.6893692,3.715914,-2.5616366614488,8.515647,6.737095,,32.6736,25.0118,116578.1,107913.9,,79.11,146.458587,4.995018,-0.1122108,4,0,4.323828,-0.1309279,
2021/04/18 20:31:14,368636.5848,12600.0020,1.00,15.00,8.00,0.00,0.00,0,3.771872,0,8.515647,6.737096,,32.6736,25.0118,116578.1,107913.9,,79.11,146.458609,5.17761,0.05242646,4,0,4.917557,0.09914652,
