Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/06/12 14:22:45,3600.0031,3600.0031,1.00,1.00,0.00,0.00,0.00,0,3.077012,0,0,0,,0,0,0,0,,0,0,15.3586,-0.09578764,15,0,15.29306,-0.02750695,
2021/06/12 16:44:49,12124.2167,8524.1718,1.00,2.00,0.00,0.00,0.00,0.04999775,4.199967,0.20998890007425,2.708104,1.53323E-05,3.8571729975493,10.45737,4.717307E-05,8518.029,0.0368,,0,0.000333,15.95201,0.04845172,15,0,15.87199,0.1213154,
2021/06/12 17:44:49,15724.2648,3600.0031,1.00,4.00,0.00,0.00,0.00,0,4.181549,0,6.603069E-08,1.53323E-05,,10.45737,4.717307E-05,8518.04,0.0368,,23219.95,0.000333,15.61805,0.0597772,15,0,15.3339,-0.03587067,
2021/06/12 19:32:29,22183.5845,6459.2785,1.00,5.00,0.00,0.00,0.00,-1.501709,2.499983,-3.754246970947,1.492424E-07,2.691628,3.65457224646561,10.45737,9.776773,8518.051,6455.095,,1803528000,58.513652,17.89994,-0.05311131,15,0,15.27555,0.02171487,
2021/06/12 20:32:29,25783.6396,3600.0023,1.00,8.00,0.00,0.00,0.00,0,3.007442,0,1.492424E-07,2.691635,,10.45737,9.776793,8518.051,6455.113,,1803533000,58.513804,15.89574,-0.03857076,15,0,15.88852,0.05016893,
2021/06/12 23:04:43,34917.5481,9133.8689,1.00,9.00,0.00,0.00,0.00,0.04999154,4.20007,0.2099679674078,2.703678,2.691651,3.8479780988121,20.86612,9.776839,17644.87,6455.15,,99.56,58.514152,15.87516,-0.0135228,15,0,15.91163,0.0684002,
2021/06/12 23:04:45,34919.6383,2.0316,1.00,11.00,0.00,0.00,0.00,0.2500317,4.204221,1.0511885238057,2.703678,2.691651,,20.86613,9.776839,17644.88,6455.15,,99.56,58.514152,15.8705336431413,-0.016001773600649,15,0,15.9064152755392,0.072208999551681,
2021/06/13 00:04:45,38519.6780,3600.0025,1.00,12.00,0.00,0.00,0.00,0,4.181953,0,2.703678,2.691651,,20.86613,9.776839,17644.88,6455.15,,99.56,58.514152,15.47715,-0.1433167,15,0,15.62701,0.1188332,
2021/06/13 00:14:44,39119.1677,300.0029,1.00,14.00,0.00,0.00,0.00,0,4.181511,0,2.703678,2.691651,,20.86613,9.776839,17644.88,6455.15,,99.56,58.514152,15.82767,-0.01566112,15,0,15.84958,0.05716562,
2021/06/13 00:14:54,39129.2055,10.0022,1.00,15.00,0.00,0.00,0.00,-8.968597,3.769289,-33.805234017533,2.70368,2.716507,2.49962333532008,20.86613,9.871306,17644.92,6465.126,,100.47,59.0545,15.90024,-0.1098979,15,0,15.5507,-0.05764127,
2021/06/13 00:15:34,39169.2451,40.0025,1.00,16.00,0.00,0.00,0.00,0,4.142888,0,2.70368,2.716514,,20.86613,9.871335,17644.92,6465.129,,100.47,59.054652,16.05509,-0.1241672,15,0,15.25385,-0.117479,
