Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/06/17 12:48:26,3600.0025,3600.0025,1.00,1.00,0.00,0.00,0.00,0.00,0,4.071273,0,0,0,,0,0,0,0,,0,0,6.035927,0.1594938,5,0,6.266585,0.1733717,
2021/06/17 13:42:33,6847.6951,3247.6525,1.00,2.00,0.00,0.00,0.00,0.00,0.04999767,4.200116,0.20999601372972,0.4095293,1.629362E-05,4.20001944990587,1.718707,6.634747E-05,3245.108,0.0391,,0,0.000354,5.865588,-0.06073505,5,0,6.17072,0.01832351,
2021/06/17 14:42:33,10447.7416,3600.0022,1.00,4.00,0.00,0.00,0.00,0.00,0,4.179062,0,7.160948E-08,1.629362E-05,,1.718707,6.634747E-05,3245.118,0.0391,,22753.44,0.000354,5.935317,0.0696665,5,0,5.875847,-0.04430339,
2021/06/17 16:27:21,16735.0309,6287.2489,1.00,5.00,0.00,0.00,0.00,0.00,-1.501823,2.5,-3.7545575,8.851767E-07,2.620282,3.62496603825848,1.718711,9.427449,3245.158,6282.956,,296017975,56.962652,9.059443,0.1260519,5,0,6.212607,0.07806942,
2021/06/17 17:27:21,20335.0837,3600.0023,1.00,8.00,0.00,0.00,0.00,0.00,0,3.110106,0,8.851767E-07,2.620289,,1.718711,9.427465,3245.158,6282.972,,296018700,56.962804,5.336821,-0.08491531,5,0,5.552942,-0.08719966,
2021/06/17 20:17:16,30530.1388,10195.0163,1.00,9.00,0.00,0.00,0.00,0.00,0.0499981,4.20007,0.209995519867,2.62489,2.620304,3.87962755242716,11.9068,9.427512,13432.04,6283.008,,99.83,56.96313,5.7228,-0.07881239,5,0,5.968501,0.03981084,
2021/06/17 20:17:18,30532.222,2.0278,1.00,11.00,0.00,0.00,0.00,0.00,0.2500713,4.204332,1.0513827688716,2.62489,2.620304,-∞,11.9068,9.427512,13432.05,6283.008,,99.83,56.96313,5.73336424190259,-0.0705796434269506,5,0,5.97157629859292,0.0437529668789811,
2021/06/17 21:17:18,34132.2611,3600.0019,1.00,12.00,0.00,0.00,0.00,0.00,0,4.175678,0,2.62489,2.620304,,11.9068,9.427512,13432.05,6283.008,,99.83,56.96313,5.990912,0.07845119,5,0,6.065385,0.1226434,
2021/06/17 21:27:28,34741.8902,300.0021,1.00,14.00,0.00,0.00,0.00,0.00,0,4.175693,0,2.62489,2.620304,,11.9068,9.427512,13432.05,6283.008,,99.83,56.96313,5.718439,0.02605304,5,0,6.008788,0.07488504,
2021/06/17 21:27:38,34751.9295,10.0031,1.00,15.00,0.00,0.00,0.00,0.00,-8.730606,3.638454,-31.765908323124,2.624892,2.644505,2.49967173837923,11.90681,9.516464,13432.09,6292.986,,100.75,57.489239,6.185481,0.06947309,5,0,5.552896,-0.004929006,
2021/06/17 21:28:18,34791.9682,40.0025,1.00,16.00,0.00,0.00,0.00,0.00,0,4.130564,0,2.624892,2.644512,,11.90681,9.51649,13432.09,6292.989,,100.75,57.489391,6.738543,0.06390408,5,0,6.188558,0.1593529,
2021/06/17 21:28:28,34802.0062,10.0026,1.00,17.00,0.00,0.00,0.00,0.00,0.7753864,4.199978,3.2566058214992,2.627378,2.644584,3.39195392584795,11.91725,9.516787,13442.08,6293.019,,100.65,57.490957,6.253051,-0.07124946,5,0,5.620562,-0.0504005,
2021/06/17 21:29:08,34842.0463,40.0024,1.00,18.00,0.00,0.00,0.00,0.00,0,4.145943,0,2.627379,2.644584,,11.91726,9.516787,13442.08,6293.019,,100.65,57.490957,6.164557,0.0318791,5,0,5.494699,-0.02627134,
2021/06/17 21:33:36,35110.1302,268.0396,1.00,20.00,0.00,0.00,0.00,0.00,-1.49989,3.976035,-5.96361513615,2.627387,2.756136,2.90730756111007,11.91729,9.962182,13442.12,6560.762,,104.9,59.916,6.30398,-0.1111414,5,0,5.984198,-0.07403895,
2021/06/17 22:33:36,38710.1688,3600.0024,1.00,21.00,0.00,0.00,0.00,0.00,0,4.107125,0,2.627387,2.756137,,11.91729,9.962187,13442.12,6560.766,,104.9,59.916022,5.747358,-0.05469665,5,0,6.037688,0.03368437,
2021/06/17 22:43:16,39290.2678,300.0022,1.00,14.00,1.00,0.00,0.00,0.00,0,4.107483,0,2.627387,2.756137,,11.91729,9.962187,13442.12,6560.766,,104.9,59.916022,5.992975,0.02205506,5,0,5.519499,-0.08499384,
2021/06/17 22:43:26,39300.308,10.0037,1.00,15.00,1.00,0.00,0.00,0.00,-8.72995,3.616661,-31.57326969695,2.627387,2.780338,,11.91729,10.05053,13442.13,6570.772,,105.82,60.44213,6.443621,0.125017,5,0,5.870949,0.1088822,
2021/06/17 22:44:06,39340.349,40.0033,1.00,16.00,1.00,0.00,0.00,0.00,0,4.082341,0,2.627387,2.780345,,11.91729,10.05055,13442.13,6570.775,,105.82,60.442283,6.397269,-0.06149366,5,0,5.668192,-0.1383288,
2021/06/17 22:44:16,39350.3876,10.0021,1.00,17.00,1.00,0.00,0.00,0.00,1.730103,4.199773,7.266039866619,2.632181,2.780429,,11.93737,10.05089,13452.12,6570.81,,105.63,60.444109,6.649087,0.1098759,5,0,6.12875,0.03789529,
2021/06/17 22:44:56,39390.4258,40.0026,1.00,18.00,1.00,0.00,0.00,0.00,0,4.09769,0,2.632182,2.780429,,11.93737,10.05089,13452.12,6570.81,,105.63,60.444109,6.053924,-0.1275656,5,0,5.532897,-0.1858398,
2021/06/17 22:49:24,39658.5518,268.0824,1.00,20.00,1.00,0.00,0.00,0.00,-1.499897,3.95698,-5.93506243106,2.6322,2.891981,,11.93744,10.49385,13452.16,6838.553,,109.87,62.869152,6.613432,0.1075184,5,0,5.914476,0.1263069,
2021/06/17 23:49:24,43258.591,3600.0021,1.00,21.00,1.00,0.00,0.00,0.00,0,4.086439,0,2.6322,2.891982,,11.93744,10.49385,13452.16,6838.557,,109.87,62.869174,5.966134,0.1397894,5,0,5.571016,-0.09301633,
2021/06/18 00:02:40,44053.9399,300.0024,1.00,14.00,2.00,0.00,0.00,0.00,0,4.086979,0,2.6322,2.891982,,11.93744,10.49385,13452.16,6838.557,,109.87,62.869174,5.926719,0.02607182,5,0,6.030966,-0.06003752,
2021/06/18 00:02:50,44063.9809,10.0025,1.00,15.00,2.00,0.00,0.00,0.00,-8.730347,3.624628,-31.644260185916,2.6322,2.916211,,11.93744,10.58253,13452.17,6848.576,,110.79,63.395891,6.406072,0.07929519,5,0,6.116117,0.1375079,
2021/06/18 00:03:30,44104.0261,40.0027,1.00,16.00,2.00,0.00,0.00,0.00,0,4.061868,0,2.6322,2.916221,,11.93744,10.58257,13452.17,6848.58,,110.79,63.396109,6.326657,0.01440853,5,0,6.006891,0.1260854,
2021/06/18 00:03:40,44114.0686,10.0022,1.00,17.00,2.00,0.00,0.00,0.00,1.730392,4.163866,7.205120415472,2.636999,2.916308,,11.95738,10.58292,13462.17,6848.616,,110.59,63.398,6.249927,0.08717015,5,0,5.900338,0.1407783,
2021/06/18 00:04:20,44154.113,40.0027,1.00,18.00,2.00,0.00,0.00,0.00,0,4.079659,0,2.637001,2.916308,,11.95738,10.58292,13462.17,6848.616,,110.59,63.398,6.05237,-0.1233621,5,0,5.754744,-0.125768,
2021/06/18 00:08:48,44422.2456,268.090899,1.00,20.00,2.00,0.00,0.00,0.00,-1.49989,3.936008,-5.90357903912,2.637017,3.02786,,11.95745,11.02424,13462.2,7116.359,,114.82,65.823043,6.101706,-0.02529368,5,0,5.588182,-0.1183707,
2021/06/18 01:08:48,48022.2845,3600.0011,1.00,21.00,2.00,0.00,0.00,0.00,0,4.071305,0,2.637017,3.027861,,11.95745,11.02424,13462.2,7116.363,,114.82,65.823065,6.038878,0.1620117,5,0,6.165412,0.1293904,
2021/06/18 01:18:52,48625.9177,300.0031,1.00,14.00,3.00,0.00,0.00,0.00,0,4.071472,0,2.637017,3.027861,,11.95745,11.02424,13462.2,7116.363,,114.82,65.823065,5.705704,-0.08996591,5,0,6.048144,-0.02017498,
2021/06/18 01:19:02,48635.9538,10.0023,1.00,15.00,3.00,0.00,0.00,0.00,-8.730644,3.624589,-31.644996205316,2.637017,3.052074,,11.95745,11.11295,13462.21,7126.373,,115.74,66.349435,6.209043,0.06136686,5,0,6.119855,0.124186,
2021/06/18 01:19:42,48675.9943,40.0028,1.00,16.00,3.00,0.00,0.00,0.00,0,4.03905,0,2.637017,3.052082,,11.95745,11.11298,13462.21,7126.376,,115.74,66.349609,6.259624,0.07566452,5,0,6.268921,0.005954057,
2021/06/18 01:19:52,48686.0307,10.0025,1.00,17.00,3.00,0.00,0.00,0.00,1.73011,4.133968,7.15221937648,2.641812,3.052152,,11.97722,11.11326,13472.2,7126.405,,115.53,66.35113,6.498721,0.1297267,5,0,6.096969,0.1322086,
2021/06/18 01:20:32,48726.0701,40.0026,1.00,18.00,3.00,0.00,0.00,0.00,0,4.060238,0,2.641814,3.052152,,11.97722,11.11326,13472.2,7126.405,,115.53,66.35113,6.209356,-0.09331033,5,0,6.218061,0.1233304,
2021/06/18 01:25:00,48994.1805,268.068499,1.00,20.00,3.00,0.00,0.00,0.00,-1.499825,3.9,-5.8493175,2.641829,3.163703,,11.97729,11.55161,13472.23,7394.147,,119.75,68.776152,6.262894,0.02779156,5,0,5.757,-0.0396432,
2021/06/18 02:25:00,52594.2205,3600.0023,1.00,21.00,3.00,0.00,0.00,0.00,0,4.034103,0,2.641829,3.163705,,11.97729,11.55162,13472.23,7394.151,,119.75,68.776196,6.076346,0.07343158,5,0,6.329288,-0.008002222,
2021/06/18 02:35:00,53194.0049,300.0022,1.00,14.00,4.00,0.00,0.00,0.00,0,4.034106,0,2.641829,3.163705,,11.97729,11.55162,13472.23,7394.151,,119.75,68.776196,5.6319,-0.112683,5,0,5.98928,-0.08703306,
2021/06/18 02:35:10,53204.0433,10.003,1.00,15.00,4.00,0.00,0.00,0.00,-8.730858,3.59738,-31.40821395204,2.641829,3.187916,,11.97729,11.63972,13472.24,7404.16,,120.67,69.302522,6.356644,0.1807705,5,0,6.304665,0.2133681,
2021/06/18 02:35:50,53244.0823,40.0027,1.00,16.00,4.00,0.00,0.00,0.00,0,3.994624,0,2.641829,3.187923,,11.97729,11.63975,13472.24,7404.163,,120.67,69.302674,6.215658,0.03493473,5,0,5.992556,0.1093589,
2021/06/18 02:36:00,53254.1199,10.003,1.00,17.00,4.00,0.00,0.00,0.00,1.730377,4.085989,7.070301387853,2.646624,3.187999,,11.99682,11.64005,13482.23,7404.194,,120.46,69.304326,6.129402,0.005573779,5,0,6.331721,0.08692786,
2021/06/18 02:36:40,53294.1588,40.0033,1.00,18.00,4.00,0.00,0.00,0.00,0,4.017379,0,2.646625,3.187999,,11.99683,11.64005,13482.23,7404.194,,120.46,69.304326,6.186249,0.05087703,5,0,5.815132,-0.08622631,
2021/06/18 02:41:08,53562.2337,268.0316,1.00,20.00,4.00,0.00,0.00,0.00,-1.500105,3.851225,-5.777241878625,2.646641,3.29955,,11.99689,12.07329,13482.27,7671.896,,124.67,71.729348,6.315908,-0.08084625,5,0,6.210405,0.1113276,
2021/06/18 03:41:08,57162.2742,3600.0034,1.00,21.00,4.00,0.00,0.00,0.00,0,3.985256,0,2.646641,3.299551,,11.99689,12.0733,13482.27,7671.9,,124.67,71.72937,5.607057,-0.07683665,5,0,5.890036,-0.0465709,
2021/06/18 03:51:07,57761.5243,300.0023,1.00,14.00,5.00,0.00,0.00,0.00,0,3.986039,0,2.646641,3.299551,,11.99689,12.0733,13482.27,7671.9,,124.67,71.72937,5.707249,-0.001758486,5,0,5.856207,-0.07384494,
2021/06/18 03:51:17,57771.5675,10.0023,1.00,15.00,5.00,0.00,0.00,0.00,-8.731224,3.557088,-31.057732115712,2.646641,3.323774,,11.99689,12.16049,13482.28,7681.917,,125.58,72.255957,6.571787,0.1451464,5,0,6.363731,0.07080838,
2021/06/18 03:51:57,57811.6111,40.0025,1.00,16.00,5.00,0.00,0.00,0.00,0,3.943372,0,2.646641,3.323783,,11.99689,12.16052,13482.28,7681.921,,125.58,72.256152,6.704998,0.1201689,5,0,6.415236,0.07375553,
2021/06/18 03:52:07,57821.649,10.0023,1.00,17.00,5.00,0.00,0.00,0.00,1.728661,4.031984,6.969933493424,2.651433,3.323861,,12.01616,12.16083,13492.27,7681.953,,125.36,72.257848,6.369425,-0.0735189,5,0,6.205901,-0.00151515,
2021/06/18 03:52:47,57861.6887,40.0027,1.00,18.00,5.00,0.00,0.00,0.00,0,3.965904,0,2.651435,3.323861,,12.01616,12.16083,13492.27,7681.953,,125.36,72.257848,6.595678,0.1473956,5,0,6.402501,0.145133,
2021/06/18 03:57:15,58129.7876,268.0546,1.00,20.00,5.00,0.00,0.00,0.00,-1.500076,3.80598,-5.70925925448,2.651453,3.435413,,12.01623,12.58875,13492.31,7949.657,,129.57,74.682891,6.168968,-0.1179266,5,0,6.042574,-0.06219476,
2021/06/18 04:57:16,61729.8269,3600.0023,1.00,21.00,5.00,0.00,0.00,0.00,0,3.942084,0,2.651453,3.435414,,12.01623,12.58876,13492.31,7949.66,,129.57,74.682913,5.708525,-0.06017655,5,0,6.125358,-0.02527803,
2021/06/18 05:06:51,62305.0039,300.0024,1.00,14.00,6.00,0.00,0.00,0.00,0,3.942059,0,2.651453,3.435414,,12.01623,12.58876,13492.31,7949.66,,129.57,74.682913,6.082269,-0.05526453,5,0,6.201353,-0.1342826,
2021/06/18 05:07:01,62315.0394,10.0023,1.00,15.00,6.00,0.00,0.00,0.00,-8.73101,3.519309,-30.72712207209,2.651453,3.459621,,12.01623,12.67496,13492.32,7959.669,,130.48,75.209152,6.548578,0.1266719,5,0,6.32564,0.1430151,
2021/06/18 05:07:41,62355.0799,40.0027,1.00,16.00,6.00,0.00,0.00,0.00,0,3.899505,0,2.651453,3.459628,,12.01623,12.67498,13492.32,7959.672,,130.48,75.209304,6.205103,-0.134739,5,0,5.967113,-0.06509706,
2021/06/18 05:07:51,62365.1161,10.0024,1.00,17.00,6.00,0.00,0.00,0.00,1.729843,3.986482,6.895987982326,2.656246,3.459708,,12.03529,12.6753,13502.31,7959.706,,130.25,75.211043,6.250283,-0.01495361,5,0,6.034638,0.06869182,
2021/06/18 05:08:31,62405.1546,40.0024,1.00,18.00,6.00,0.00,0.00,0.00,0,3.921162,0,2.656248,3.459708,,12.0353,12.6753,13502.31,7959.706,,130.25,75.211043,6.446311,0.1083703,5,0,6.052234,0.0386785,
2021/06/18 05:12:59,62673.2666,268.0683,1.00,20.00,6.00,0.00,0.00,0.00,-1.499885,3.767921,-5.651448189085,2.656265,3.57126,,12.03537,13.09872,13502.35,8227.446,,134.45,77.636087,6.337516,-0.04023582,5,0,6.2781,0.02947092,
2021/06/18 06:12:59,66273.3059,3600.003,1.00,21.00,6.00,0.00,0.00,0.00,0,3.905258,0,2.656265,3.571262,,12.03537,13.09873,13502.35,8227.449,,134.45,77.63613,5.812381,-0.0119108,5,0,6.258863,0.1020095,
2021/06/18 06:22:54,66867.8918,300.0022,1.00,14.00,7.00,0.00,0.00,0.00,0,3.906167,0,2.656265,3.571262,,12.03537,13.09873,13502.35,8227.449,,134.45,77.63613,5.912088,0.0772281,5,0,6.046099,-0.004192144,
2021/06/18 06:23:04,66877.9303,10.0023,1.00,15.00,7.00,0.00,0.00,0.00,-8.73156,3.485589,-30.43462948884,2.656265,3.595474,,12.03537,13.18413,13502.36,8237.46,,135.36,78.162478,6.605658,0.1783538,5,0,6.44222,0.1086582,
2021/06/18 06:23:44,66917.9715,40.0026,1.00,16.00,7.00,0.00,0.00,0.00,0,3.862538,0,2.656265,3.595481,,12.03537,13.18416,13502.36,8237.463,,135.36,78.16263,6.222727,-0.04750624,5,0,5.95498,0.04307732,
2021/06/18 06:23:54,66928.0116,10.0021,1.00,17.00,7.00,0.00,0.00,0.00,1.72879,3.948142,6.82550840818,2.661056,3.595565,,12.05423,13.18448,13512.34,8237.497,,135.12,78.164457,6.260807,-0.08482456,5,0,5.911224,-0.1522788,
2021/06/18 06:24:34,66968.0513,40.0033,1.00,18.00,7.00,0.00,0.00,0.00,0,3.882325,0,2.661057,3.595565,,12.05423,13.18448,13512.35,8237.497,,135.12,78.164457,6.169399,-0.1589794,5,0,5.938832,-0.1451223,
2021/06/18 06:29:02,67236.1464,268.0507,1.00,20.00,7.00,0.00,0.00,0.00,-1.500056,3.731091,-5.596845441096,2.661073,3.707116,,12.0543,13.60386,13512.38,8505.202,,139.31,80.589478,6.107881,-0.1578243,5,0,6.048434,-0.1299737,
2021/06/18 07:29:02,70836.187,3600.0021,1.00,21.00,7.00,0.00,0.00,0.00,0,3.853612,0,2.661073,3.707118,,12.0543,13.60386,13512.38,8505.206,,139.31,80.589522,6.131586,0.1146187,5,0,6.384497,0.1122721,
2021/06/18 07:38:51,71425.6688,300.003,1.00,14.00,8.00,0.00,0.00,0.00,0,3.855912,0,2.661073,3.707118,,12.0543,13.60386,13512.38,8505.206,,139.31,80.589522,6.173477,0.1307209,5,0,6.515562,0.1213901,
2021/06/18 07:39:01,71435.705,10.0023,1.00,15.00,8.00,0.00,0.00,0.00,-8.729698,3.44308,-30.05704858984,2.661074,3.731345,,12.0543,13.68822,13512.39,8515.221,,140.22,81.116196,6.064107,-0.09907961,5,0,6.101374,-0.1199774,
2021/06/18 07:39:41,71475.7452,40.0031,1.00,16.00,8.00,0.00,0.00,0.00,0,3.817966,0,2.661074,3.731352,,12.0543,13.68824,13512.39,8515.224,,140.22,81.116348,6.734612,0.1495537,5,0,6.467171,0.1845266,
2021/06/18 07:39:51,71485.784,10.0025,1.00,17.00,8.00,0.00,0.00,0.00,1.728828,3.902031,6.745940449668,2.665866,3.731437,,12.07295,13.68857,13522.38,8515.259,,139.97,81.118196,6.520442,0.003180653,5,0,6.074359,-0.07355273,
2021/06/18 07:40:32,71525.8237,40.0026,1.00,18.00,8.00,0.00,0.00,0.00,0,3.834857,0,2.665867,3.731437,,12.07295,13.68857,13522.38,8515.259,,139.97,81.118196,6.600732,0.03495485,5,0,6.340646,0.07913932,
2021/06/18 07:45:00,71793.9674,268.0996,1.00,20.00,8.00,0.00,0.00,0.00,-1.499903,3.688936,-5.533046173208,2.665885,3.842989,,12.07302,14.10328,13522.42,8783,,144.15,83.543239,6.245893,-0.0621134,5,0,6.350064,-0.04816383,
2021/06/18 08:45:00,75394.009,3600.002,1.00,21.00,8.00,0.00,0.00,0.00,0,3.796444,0,2.665885,3.84299,,12.07302,14.10328,13522.42,8783.002,,144.15,83.543261,6.002901,0.1222692,5,0,6.10713,0.05245686,
2021/06/18 08:54:43,75977.2356,300.0022,1.00,14.00,9.00,0.00,0.00,0.00,0,3.797081,0,2.665885,3.84299,,12.07302,14.10328,13522.42,8783.002,,144.15,83.543261,5.95551,0.0681451,5,0,6.394417,0.1517801,
2021/06/18 08:54:53,75987.2734,10.003,1.00,15.00,9.00,0.00,0.00,0.00,-8.728363,3.390464,-29.593200530432,2.665885,3.867207,,12.07302,14.18631,13522.42,8793.018,,145.06,84.069717,6.203382,0.1157756,5,0,6.270383,0.1669352,
2021/06/18 08:55:33,76027.3122,40.0025,1.00,16.00,9.00,0.00,0.00,0.00,0,3.768543,0,2.665885,3.867215,,12.07302,14.18633,13522.42,8793.021,,145.06,84.069891,6.21732,0.008723736,5,0,5.875147,-0.07963181,
2021/06/18 08:55:43,76037.3493,10.0024,1.00,17.00,9.00,0.00,0.00,0.00,1.729874,3.851773,6.663081966602,2.670681,3.8673,,12.09145,14.18665,13532.41,8793.056,,144.81,84.071739,6.182133,-0.1413791,5,0,5.914362,-0.1368167,
2021/06/18 08:56:23,76077.3881,40.0016,1.00,18.00,9.00,0.00,0.00,0.00,0,3.784129,0,2.670682,3.8673,,12.09145,14.18665,13532.42,8793.056,,144.81,84.071739,6.082163,-0.05355775,5,0,5.85155,0.03938034,
2021/06/18 09:00:51,76345.4425,268.013199,1.00,20.00,9.00,0.00,0.00,0.00,-1.500137,3.641888,-5.463330938656,2.670698,3.978851,,12.09151,14.59595,13532.45,9060.755,,148.98,86.496761,5.934086,-0.02328739,5,0,5.829958,0.08826286,
2021/06/18 10:00:51,79945.4833,3600.0022,1.00,21.00,9.00,0.00,0.00,0.00,0,3.748857,0,2.670698,3.978853,,12.09151,14.59595,13532.45,9060.759,,148.98,86.496804,5.616188,-0.02559677,5,0,6.100063,-0.05175725,
2021/06/18 10:10:17,80510.9693,300.002,1.00,14.00,10.00,0.00,0.00,0.00,0,3.749334,0,2.670698,3.978853,,12.09151,14.59595,13532.45,9060.759,,148.98,86.496804,6.070236,0.09269685,5,0,6.181887,-0.08536041,
2021/06/18 10:10:27,80521.0058,10.0024,1.00,15.00,10.00,0.00,0.00,0.00,-8.731224,3.341964,-29.179436283936,2.670698,4.003074,,12.09151,14.67784,13532.45,9070.774,,149.89,87.023348,6.055732,-0.01629889,5,0,6.048361,0.03945768,
2021/06/18 10:11:07,80561.0471,40.0027,1.00,16.00,10.00,0.00,0.00,0.00,0,3.720084,0,2.670698,4.003083,,12.09151,14.67787,13532.45,9070.777,,149.89,87.023543,6.571152,0.1294166,5,0,6.162311,0.1085971,
2021/06/18 10:11:17,80571.0854,10.0021,1.00,17.00,10.00,0.00,0.00,0.00,1.729118,3.803236,6.576243825848,2.675489,4.003167,,12.10969,14.67819,13542.44,9070.813,,149.62,87.02537,6.190564,-0.1670031,5,0,5.818597,-0.1926965,
2021/06/18 10:11:57,80611.1258,40.0033,1.00,18.00,10.00,0.00,0.00,0.00,0,3.736666,0,2.675491,4.003167,,12.1097,14.67819,13542.44,9070.813,,149.62,87.02537,6.633489,0.07872373,5,0,6.447762,0.05087405,
2021/06/18 10:16:25,80879.2415,268.0722,1.00,20.00,10.00,0.00,0.00,0.00,-1.49987,3.592222,-5.38786601114,2.675507,4.114719,,12.10976,15.08205,13542.48,9338.556,,153.79,89.450413,6.237146,0.03675401,5,0,6.274398,0.1111284,
2021/06/18 11:16:25,84479.283,3600.0028,1.00,21.00,10.00,0.00,0.00,0.00,0,3.704931,0,2.675507,4.11472,,12.10976,15.08205,13542.48,9338.56,,153.79,89.450435,5.770447,0.04363224,5,0,5.83007,-0.05871743,
2021/06/18 11:25:37,85031.2524,300.0022,1.00,14.00,11.00,0.00,0.00,0.00,0,3.705219,0,2.675507,4.11472,,12.10976,15.08205,13542.48,9338.56,,153.79,89.450435,6.199285,-0.03274292,5,0,6.407558,-0.1210551,
2021/06/18 11:25:47,85041.2925,10.0029,1.00,15.00,11.00,0.00,0.00,0.00,-8.728172,3.299342,-28.797224462824,2.675507,4.138948,,12.10976,15.16295,13542.49,9348.58,,154.7,89.97713,6.072304,-0.08103266,5,0,5.945883,-0.1507641,
2021/06/18 11:26:27,85081.3355,40.0034,1.00,16.00,11.00,0.00,0.00,0.00,0,3.674266,0,2.675507,4.138956,,12.10976,15.16297,13542.49,9348.584,,154.7,89.977304,6.265314,-0.1096357,5,0,6.064555,-0.02602801,
2021/06/18 11:26:37,85091.3759,10.0025,1.00,17.00,11.00,0.00,0.00,0.00,1.72892,3.756815,6.4952325898,2.680303,4.139051,,12.12773,15.16332,13552.48,9348.622,,154.42,89.97937,6.713494,0.02168223,5,0,6.401437,-0.07363796,
2021/06/18 11:27:17,85131.4177,40.0023,1.00,18.00,11.00,0.00,0.00,0.00,0,3.691483,0,2.680305,4.139051,,12.12774,15.16332,13552.48,9348.622,,154.42,89.97937,6.170993,-0.07648572,5,0,5.977634,-0.1346092,
2021/06/18 11:31:45,85399.4967,268.036299,1.00,20.00,11.00,0.00,0.00,0.00,-1.50017,3.546639,-5.32056142863,2.680319,4.250602,,12.12779,15.56207,13552.51,9616.321,,158.59,92.404391,6.399946,0.09006858,5,0,5.98351,-0.01451597,
2021/06/18 12:31:45,88999.537,3600.0024,1.00,21.00,11.00,0.00,0.00,0.00,0,3.66792,0,2.680319,4.250604,,12.12779,15.56207,13552.51,9616.325,,158.59,92.404435,5.807563,-0.01595825,5,0,6.291234,0.1026073,
2021/06/18 12:41:32,89586.1202,300.0021,1.00,14.00,12.00,0.00,0.00,0.00,0,3.668313,0,2.680319,4.250604,,12.12779,15.56207,13552.51,9616.325,,158.59,92.404435,6.283448,-0.1032467,5,0,6.603156,-0.1217361,
2021/06/18 12:41:42,89596.1621,10.0016,1.00,15.00,12.00,0.00,0.00,0.00,-8.728378,3.26531,-28.50085996718,2.680319,4.274829,,12.12779,15.64213,13552.52,9626.344,,159.49,92.931065,6.708517,-0.1357622,5,0,6.507957,-0.175264,
2021/06/18 12:42:22,89636.2056,40.0017,1.00,16.00,12.00,0.00,0.00,0.00,0,3.637678,0,2.680319,4.274834,,12.12779,15.64214,13552.52,9626.347,,159.49,92.931174,7.188257,0.05106285,4.9,0,6.661112,-0.02787888,
2021/06/18 12:42:32,89646.2483,10.0024,1.00,17.00,12.00,0.00,0.00,0.00,1.728752,3.719259,6.429676434768,2.685114,4.274925,,12.14558,15.64247,13562.52,9626.384,,159.21,92.933152,6.779829,0.03975034,4.9,0,6.274518,-0.03921509,
2021/06/18 12:43:12,89686.2902,40.0025,1.00,18.00,12.00,0.00,0.00,0.00,0,3.654039,0,2.685116,4.274925,,12.14558,15.64247,13562.52,9626.384,,159.21,92.933152,6.628933,-0.1219939,4.9,0,6.532396,-0.02684817,
2021/06/18 12:47:40,89954.2045,267.8652,1.00,20.00,12.00,0.00,0.00,0.00,-1.499854,3.508514,-5.262258756956,2.685133,4.386477,,12.14565,16.03705,13562.56,9894.125,,163.36,95.358196,6.808071,0.1656353,5,0,6.622416,0.20523,
2021/06/18 13:47:40,93554.2477,3600.0029,1.00,21.00,12.00,0.00,0.00,0.00,0,3.63944,0,2.685133,4.386478,,12.14565,16.03705,13562.56,9894.129,,163.36,95.358217,5.589331,0.04287511,5,0,5.961627,0.1265341,
2021/06/18 13:57:13,94127.1436,300.0014,1.00,14.00,13.00,0.00,0.00,0.00,0,3.639995,0,2.685133,4.386478,,12.14565,16.03705,13562.56,9894.129,,163.36,95.358217,5.869923,0.1518534,5,0,6.31635,0.1494662,
2021/06/18 13:57:23,94137.1878,10.003,1.00,15.00,13.00,0.00,0.00,0.00,-8.731064,3.236642,-28.259328447088,2.685133,4.410708,,12.14565,16.11642,13562.57,9904.148,,164.26,95.884957,6.178445,-0.06197885,5,0,6.19339,-0.0248,
2021/06/18 13:58:03,94177.2324,40.0035,1.00,16.00,13.00,0.00,0.00,0.00,0,3.609384,0,2.685133,4.410712,,12.14565,16.11643,13562.57,9904.149,,164.26,95.885043,6.579399,0.07229164,5,0,6.178004,-0.01133755,
