Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
1,2021/06/20 09:51:05,300.0009,300.0009,1,1,0,0,0,0,0,3.182714,0,0,0,0,0,,0.0000379715384042356,,0,0,3,-3.33299994468689,0.660000026226044,0.0500000007450581,10,0.995000004768372,4.19999980926514,2.5,0.0500000007450581,-6.65999984741211,1.33000004291534,0,0,0,0,0,34.60077,-0.07803559,35,0,34.90174,-0.02336502
2,2021/06/20 09:56:05,600.0003,600.0003,1,1,0,0,0,0,0,3.183381,0,0,0,0,0,,-0.0000344546388078015,,0,0,,,,,,,,,,,,,,,,,34.61204,-0.01283407,35,0,34.80806,-0.09807229
3,2021/06/20 10:01:05,900.0005,900.0005,1,1,0,0,0,0,0,3.183949,0,0,0,0,0,,-0.0000255248796747765,,0,0,,,,,,,,,,,,,,,,,34.77065,0.04956007,35,0,34.9666,-0.04008174
4,2021/06/20 10:06:05,1200.0004,1200.0004,1,1,0,0,0,0,0,3.184568,0,0,0,0,0,,0.00000102731701190351,,0,0,,,,,,,,,,,,,,,,,34.59966,-0.05049348,35,0,35.29982,0.08817077
5,2021/06/20 10:11:05,1500.0006,1500.0006,1,1,0,0,0,0,0,3.18506,0,0,0,0,0,,0.0000299129696941236,,0,0,,,,,,,,,,,,,,,,,34.69941,-0.1173031,35,0,35.1332,-0.01891136
6,2021/06/20 10:16:05,1800.0007,1800.0007,1,1,0,0,0,0,0,3.185611,0,0,0,0,0,,0.00000821840058051748,,0,0,,,,,,,,,,,,,,,,,35.1001,0.140692,35,0,35.4916,0.1886678
7,2021/06/20 10:21:05,2100.0001,2100.0001,1,1,0,0,0,0,0,3.185941,0,0,0,0,0,,-0.000024141949324985,,0,0,,,,,,,,,,,,,,,,,35.07518,0.1309896,35,0,35.48766,0.11127
8,2021/06/20 10:26:05,2400.0003,2400.0003,1,1,0,0,0,0,0,3.186418,0,0,0,0,0,,0.0000184918608283624,,0,0,,,,,,,,,,,,,,,,,35.11382,0.1305509,35,0,35.44941,0.08460045
9,2021/06/20 10:31:05,2700.0004,2700.0004,1,1,0,0,0,0,0,3.186716,0,0,0,0,0,,0.0000297526894428302,,0,0,,,,,,,,,,,,,,,,,34.93413,-0.04386783,35,0,35.06009,-0.1006639
10,2021/06/20 10:36:05,3000.0005,3000.0005,1,1,0,0,0,0,0,3.187616,0,0,0,0,0,,0.0000325972905557137,,0,0,,,,,,,,,,,,,,,,,34.75823,0.04554629,35,0,34.98217,-0.02442479
