Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2022/03/02 11:07:18,3600.0027,3600.0027,1.00,1.00,0.00,0.00,0.00,0.00,0,3.046203,0,0,0,,0,0,0,0,,0,0,35.21633,-0.01263142,
2022/03/02 13:13:24,11166.0309,7565.9943,1.00,2.00,0.00,0.00,0.00,0.00,0.04999458,4.199975,0.2099759861355,2.767241,1.196144E-05,3.82809274116542,10.59234,3.643688E-05,7556.354,0.0445,,0,0.00026,35.19167,-0.07529497,
2022/03/02 14:13:24,14766.0764,3600.0021,1.00,4.00,0.00,0.00,0.00,0.00,0,4.186832,0,7.294377E-08,1.196144E-05,,10.59234,3.643688E-05,7556.364,0.0445,,16398.17,0.00026,35.63673,0.04721284,
2022/03/02 16:05:23,21485.0256,6718.9145,1.00,5.00,0.00,0.00,0.00,0.00,-1.501869,2.499988,-3.754654477572,2.216536E-07,2.799666,3.69224759303695,10.59234,10.27628,7556.38,6709.699,,1263081800,60.862304,36.50932,-0.05114198,
2022/03/02 17:05:23,25085.0783,3600.0014,1.00,8.00,0.00,0.00,0.00,0.00,0,2.931146,0,2.216536E-07,2.799673,,10.59234,10.2763,7556.38,6709.716,,1263084900,60.862457,35.25768,0.06249428,
2022/03/02 19:19:37,33138.3789,8053.2674,1.00,9.00,0.00,0.00,0.00,0.00,0.04999204,4.199977,0.20996541818308,2.785578,2.799685,3.82005348496511,21.2288,10.27633,15600.52,6709.745,,100.51,60.862717,35.21858,-0.08964658,
2022/03/02 19:19:39,33140.4551,2.0189,1.00,11.00,0.00,0.00,0.00,0.00,0.2500309,4.204177,1.0511741590693,2.785578,2.799685,,21.2288,10.27633,15600.54,6709.745,,100.51,60.862717,35.218189516593,-0.0893426908585925,
2022/03/02 20:19:39,36740.4926,3600.0021,1.00,12.00,0.00,0.00,0.00,0.00,0,4.187188,0,2.785578,2.799685,,21.2288,10.27633,15600.54,6709.745,,100.51,60.862717,35.1782,0.03794432,
2022/03/02 20:29:29,37331.1816,300.003,1.00,14.00,0.00,0.00,0.00,0.00,0,4.187152,0,2.785578,2.799685,,21.2288,10.27633,15600.54,6709.745,,100.51,60.862717,35.19993,-0.0866437,
2022/03/02 20:29:40,37341.2193,10.002,1.00,15.00,0.00,0.00,0.00,0.00,-9.336786,3.916821,-36.570519477306,2.759716,2.799685,2.86244555557808,21.12682,10.27633,15600.58,6719.716,,101.45,60.862717,35.3036,-0.03875971,
