Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
1,2022/03/02 10:12:18,300.0003,300.0003,1,1,0,0,0,0,0,3.042546,0,0,0,0,0,,0.000000355609813595947,,0,0,3,3.33299994468689,0.666000008583069,0.0500000007450581,10,0.995000004768372,4.19999980926514,2.5,0.0500000007450581,6.66599988937378,1.33299994468689,0,0,0,0,0,35.07538,0.0792408
2,2022/03/02 10:17:18,600.0002,600.0002,1,1,0,0,0,0,0,3.042566,0,0,0,0,0,,0.0000067170180955145,,0,0,,,,,,,,,,,,,,,,,35.14862,0.04667878
3,2022/03/02 10:22:18,900.0009,900.0009,1,1,0,0,0,0,0,3.043099,0,0,0,0,0,,0.0000141058499139035,,0,0,,,,,,,,,,,,,,,,,35.09423,0.07281184
4,2022/03/02 10:27:18,1200.0006,1200.0006,1,1,0,0,0,0,0,3.043634,0,0,0,0,0,,-0.0000277766102954047,,0,0,,,,,,,,,,,,,,,,,34.99669,-0.02830625
5,2022/03/02 10:32:18,1500.0013,1500.0013,1,1,0,0,0,0,0,3.043582,0,0,0,0,0,,0.0000272238994512009,,0,0,,,,,,,,,,,,,,,,,34.97474,-0.09680033
6,2022/03/02 10:37:18,1800.0003,1800.0003,1,1,0,0,0,0,0,3.04399,0,0,0,0,0,,0.0000235492698266171,,0,0,,,,,,,,,,,,,,,,,35.0905,0.009508133
7,2022/03/02 10:42:18,2100.0002,2100.0002,1,1,0,0,0,0,0,3.04458,0,0,0,0,0,,0.00000177816696123045,,0,0,,,,,,,,,,,,,,,,,35.07281,0.02308965
8,2022/03/02 10:47:18,2400.0003,2400.0003,1,1,0,0,0,0,0,3.044998,0,0,0,0,0,,-0.0000166741501743672,,0,0,,,,,,,,,,,,,,,,,35.01319,-0.04382372
9,2022/03/02 10:52:18,2700.0008,2700.0008,1,1,0,0,0,0,0,3.04524,0,0,0,0,0,,-0.00000513688382852706,,0,0,,,,,,,,,,,,,,,,,35.21892,0.01592755
10,2022/03/02 10:57:18,3000.0002,3000.0002,1,1,0,0,0,0,0,3.045736,0,0,0,0,0,,-0.0000234702492889483,,0,0,,,,,,,,,,,,,,,,,35.08063,-0.06361246
11,2022/03/02 11:02:18,3300.0006,3300.0006,1,1,0,0,0,0,0,3.045958,0,0,0,0,0,,-0.00000719121999281924,,0,0,,,,,,,,,,,,,,,,,34.92244,-0.02300858
12,2022/03/02 11:07:18,3600.0008,3600.0008,1,1,0,0,0,0,0,3.046203,0,0,0,0,0,,0.0000112207198981196,,0,0,,,,,,,,,,,,,,,,,35.21633,-0.01263142
13,2022/03/02 11:07:18,3600.0023,3600.0023,1,1,0,0,0,0,0,3.046203,0,0,0,0,0,,0.0000112207198981196,0,0,0,,,,,,,,,,,,,,,,,35.21633,-0.01263142
14,2022/03/02 11:07:28,3610.0379,10.0013,1,2,0,0,0,0,1.500999,3.116532,4.677911415468,0.004039981,0.00001196144,0.01252511,0.00003643688,,0.00271866098046303,,0.135084703564644,8.00970363616943,,,,,,,,,,,,,,,,,35.20305,0.07116199
15,2022/03/02 11:07:38,3620.0367,20.0001,1,2,0,0,0,0,1.500725,3.142892,4.7166165967,0.008203227,0.00001196144,0.02555675,0.00003643688,,0.00241752690635622,,0.169051095843315,6.22096014022827,,,,,,,,,,,,,,,,,35.1777,0.06364107
16,2022/03/02 11:07:48,3630.0381,30.0015,1,2,0,0,0,0,1.500595,3.165455,4.750065945725,0.01236709,0.00001196144,0.03869128,0.00003643688,,0.00219769892282784,,0.194087997078896,5.50198078155518,,,,,,,,,,,,,,,,,35.1244,-0.001152754
17,2022/03/02 11:07:58,3640.0372,40.0006,1,2,0,0,0,0,1.500557,3.185014,4.779295052798,0.01653027,0.00001196144,0.05191077,0.00003643688,,0.00186507601756603,,0.221043393015862,4.79957723617554,,,,,,,,,,,,,,,,,34.85685,-0.08190155
18,2022/03/02 11:08:08,3650.0367,50.0001,1,2,0,0,0,0,1.50045,3.20232,4.804921044,0.0206933,0.00001196144,0.06520713,0.00003643688,,0.0013542779488489,,0.235716298222542,4.32864713668823,,,,,,,,,,,,,,,,,34.88356,-0.05921602
19,2022/03/02 11:08:18,3660.0376,60.001,1,2,0,0,0,0,1.5,3.218522,4.827783,0.02485649,0.00001196144,0.07857367,0.00003643688,,0.00132454803679138,,0.257432013750076,3.72915601730347,,,,,,,,,,,,,,,,,34.85327,0.0005877018
20,2022/03/02 11:08:28,3670.0376,70.001,1,2,0,0,0,0,1.500572,3.233153,4.851578863516,0.02901896,0.00001196144,0.09200156,0.00003643688,,0.00116754905320704,,0.291494697332382,3.63094592094421,,,,,,,,,,,,,,,,,34.99795,0.01699567
21,2022/03/02 11:08:38,3680.0371,80.0005,1,2,0,0,0,0,1.500946,3.246886,4.873400554156,0.03318239,0.00001196144,0.1054913,0.00003643688,,0.00143376202322543,,0.298400908708572,3.43521189689636,,,,,,,,,,,,,,,,,35.10413,0.018121
22,2022/03/02 11:08:48,3690.038,90.0014,1,2,0,0,0,0,1.500648,3.259653,4.891591755144,0.03734663,0.00001196144,0.1190386,0.00003643688,,0.00108979898504913,,0.328183799982071,3.10854005813599,,,,,,,,,,,,,,,,,35.05421,0.07081151
23,2022/03/02 11:08:58,3700.038,100.0014,1,2,0,0,0,0,1.500572,3.271686,4.909400404392,0.04150906,0.00001196144,0.1326314,0.00003643688,,0.0010123000247404,,0.346362590789795,2.93099808692932,,,,,,,,,,,,,,,,,35.13865,0.04335642
24,2022/03/02 11:09:08,3710.0366,110,1,2,0,0,0,0,1.50058,3.282739,4.92601248862,0.04567147,0.00001196144,0.1462728,0.00003643688,,0.000969500688370317,,0.373844385147095,2.80020499229431,,,,,,,,,,,,,,,,,35.17927,0.05538702
25,2022/03/02 11:09:18,3720.0374,120.0008,1,2,0,0,0,0,1.500221,3.293647,4.941198395987,0.04983527,0.00001196144,0.1599647,0.00003643688,,0.00095657299971208,,0.378949999809265,2.62146902084351,,,,,,,,,,,,,,,,,35.12642,0.08674264
26,2022/03/02 11:09:28,3730.0367,130.0001,1,2,0,0,0,0,1.500648,3.303819,4.957869374712,0.05399733,0.00001196144,0.1736946,0.00003643688,,0.00121353601571172,,0.404585093259811,2.54789710044861,,,,,,,,,,,,,,,,,35.06233,0.05092621
