Device_ID,Channel_ID,Test_Time,Step_ID,Cycle_ID,EIS_Test_ID,EIS_Data_Point,Frequency,Zmod,Zphz,Zreal,Zimg,OCV,AC_Amp_RMS,DC_Base,Driven_Type,Product_ID
25925825,3,56856.7359,13,1,0,0,0.1001,0.0208,-7.0314,0.0207,-0.0025,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,1,0.1335,0.0205,-6.0372,0.0203,-0.0022,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,2,0.1781,0.0201,-5.2659,0.0200,-0.0018,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,3,0.2372,0.0199,-4.6461,0.0198,-0.0016,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,4,0.3167,0.0197,-4.2078,0.0197,-0.0014,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,5,0.4231,0.0196,-3.8364,0.0195,-0.0013,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,6,0.5634,0.0194,-3.5065,0.0193,-0.0012,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,7,0.7512,0.0192,-3.3244,0.0192,-0.0011,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,8,1.0016,0.0191,-3.2458,0.0191,-0.0011,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,9,1.3470,0.0190,-3.3178,0.0189,-0.0011,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,10,1.7589,0.0188,-3.5084,0.0188,-0.0012,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,11,2.3916,0.0186,-3.8601,0.0186,-0.0013,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,12,3.1672,0.0184,-4.3078,0.0184,-0.0014,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,13,4.2344,0.0181,-4.7679,0.0181,-0.0015,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,14,5.5804,0.0178,-5.1643,0.0177,-0.0016,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,15,7.4405,0.0175,-5.4984,0.0174,-0.0017,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,16,9.9102,0.0171,-5.6188,0.0170,-0.0017,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,17,13.3168,0.0167,-5.4727,0.0166,-0.0016,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,18,17.7557,0.0163,-5.1643,0.0163,-0.0015,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,19,23.9158,0.0160,-4.7350,0.0160,-0.0013,4.1803,0.25,0,Galvanostatic,Gamry_1
25925825,3,56856.7359,13,1,0,20,31.8878,0.0158,-4.4148,0.0158,-0.0012,4.1803,0.25,0,Galvanostatic,Gamry_1
