Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/20 11:19:38,3600.0031,3600.0031,1.00,1.00,0.00,0.00,0.00,0.00,0,3.011563,0,0,0,,0,0,0,0,,0,0,25.449,-0.01462758,
2021/11/20 13:39:04,11966.2378,8366.1921,1.00,2.00,0.00,0.00,0.00,0.00,0.04999242,4.200014,0.20996886389388,2.974544,2.941509E-05,3.8115812571953,11.3655,8.85802E-05,8365.382,0.0352,,0,0.000639,25.58239,0.07233441,
2021/11/20 14:09:04,13766.2834,1800.0033,1.00,3.00,0.00,0.00,0.00,0.00,0,4.188033,0,2.974545,2.941509E-05,,11.3655,8.85802E-05,8365.386,0.0352,,0,0.000639,25.36457,-0.04275858,
2021/11/20 18:10:06,28227.3861,14461.0528,1.00,4.00,0.00,0.00,0.00,0.00,-0.7525406,2.499961,-1.8813221509166,2.974545,3.024474,3.68547284860097,11.3655,11.07417,8365.391,14459.54,,101.68,65.749435,26.15368,-0.0488019,
2021/11/20 18:40:06,30027.4485,1800.0062,1.00,6.00,0.00,0.00,0.00,0.00,0,2.800108,0,2.974545,3.024475,,11.3655,11.07417,8365.391,14459.54,,101.68,65.749457,25.36351,0.009040833,
2021/11/20 20:59:59,38420.7404,8393.247799,1.00,7.00,0.00,0.00,0.00,0.00,0.04999756,4.200101,0.20999480175356,5.984637,3.024482,3.8056366755869,22.83998,11.07419,16757.44,14459.57,,50.54,65.749609,25.34242,-0.04654586,
2021/11/20 22:59:59,45620.7881,7200.0041,1.00,8.00,0.00,0.00,0.00,0.00,0,4.182019,0,5.984637,3.024482,,22.83998,11.07419,16757.45,14459.57,,50.54,65.749609,25.25505,-0.05429924,
2021/11/20 23:11:56,46337.6975,716.8565,1.00,10.00,0.00,0.00,0.00,0.00,-0.7591705,4.078425,-3.0962199464625,5.984638,0.1512258,4.10325417445245,22.83998,11.69522,16757.48,15176.35,,2.53,3.287517,25.26217,-0.05476117,
2021/11/21 02:41:56,58937.7409,12600.0025,1.00,11.00,0.00,0.00,0.00,0.00,0,4.108721,0,5.984638,0.1512267,,22.83998,11.69522,16757.48,15176.35,,2.53,3.287537,25.28428,-0.07483542,
2021/11/21 02:53:53,59654.5776,716.763,1.00,10.00,1.00,0.00,0.00,0.00,-0.7597198,4.05517,-3.080792941366,5.984638,0.1512257,,22.83998,12.3102,16757.5,15893.05,,2.53,3.287515,25.26733,0.03321946,
