Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
1,2021/11/20 10:20:56,60.0025,60.0025,1,1,0,0,0,0,0,2.990798,0,0,0,0,0,,0.0000314517092192546,,,,3,-0.25,0.5,4.19999980926514,2.5,0.0500000007450581,0,0,0,0,0,0,0,0,0,0,25.18941,-0.09263813
2,2021/11/20 10:21:56,120.0012,120.0012,1,1,0,0,0,0,0,2.991415,0,0,0,0,0,,0.00000971975896391086,,,,,,,,,,,,,,,,,,,,25.38901,-0.05065382
3,2021/11/20 10:22:56,180.0024,180.0024,1,1,0,0,0,0,0,2.991386,0,0,0,0,0,,0.0000142241597131942,,0,0,,,,,,,,,,,,,,,,,25.26406,0.01236439
4,2021/11/20 10:23:56,240.0024,240.0024,1,1,0,0,0,0,0,2.99189,0,0,0,0,0,,-0.00000450498782811337,,,,,,,,,,,,,,,,,,,,25.27469,-0.05376816
5,2021/11/20 10:24:56,300.0008,300.0008,1,1,0,0,0,0,0,2.992217,0,0,0,0,0,,0.00000241010388890572,,0,0,,,,,,,,,,,,,,,,,25.2232,-0.03668904
6,2021/11/20 10:25:56,360.0006,360.0006,1,1,0,0,0,0,0,2.992726,0,0,0,0,0,,0.0000472597203042824,,,,,,,,,,,,,,,,,,,,25.39612,-0.03594637
7,2021/11/20 10:26:56,420.0009,420.0009,1,1,0,0,0,0,0,2.993004,0,0,0,0,0,,0.000000632200396921689,,0,0,,,,,,,,,,,,,,,,,25.22983,-0.04322827
8,2021/11/20 10:27:56,480.0016,480.0016,1,1,0,0,0,0,0,2.99337,0,0,0,0,0,,-0.0000118938596642693,,,,,,,,,,,,,,,,,,,,25.32416,0.03963232
9,2021/11/20 10:28:56,540.0026,540.0026,1,1,0,0,0,0,0,2.993614,0,0,0,0,0,,-0.0000163971508300165,,0,0,,,,,,,,,,,,,,,,,25.36853,0.07485926
10,2021/11/20 10:29:56,600,600,1,1,0,0,0,0,0,2.993756,0,0,0,0,0,,0.000000316118587306846,,,,,,,,,,,,,,,,,,,,25.11245,-0.01723051
11,2021/11/20 10:30:56,660.0008,660.0008,1,1,0,0,0,0,0,2.994141,0,0,0,0,0,,-0.00000719128001946956,,0,0,,,,,,,,,,,,,,,,,25.10715,-0.07887006
12,2021/11/20 10:31:56,720.0005,720.0005,1,1,0,0,0,0,0,2.994714,0,0,0,0,0,,-0.0000388427397410851,,,,,,,,,,,,,,,,,,,,25.30174,-0.04335701
