Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/26 14:50:22,1800.0028,1800.0028,1.00,1.00,0.00,0.00,0.00,0.00,0,3.256,0,0,0,,0,0,0,0,,0,0,15.61145,-0.001811981,
2021/11/26 16:21:04,7241.8019,5441.7595,1.00,2.00,0.00,0.00,0.00,0.00,0.04999633,4.199913,0.20998023631929,2.724306,0.0001907451,3.92348447975618,10.6834,0.0006210663,5439.567,0.0375,,0.01,0.004147,15.60938,0.03196061,
2021/11/26 16:26:04,7541.8483,300.0032,1.00,3.00,0.00,0.00,0.00,0.00,0,4.19308,0,2.724306,0.0001907451,,10.6834,0.0006210663,5439.572,0.0375,,0.01,0.004147,15.7122,0.04348278,
2021/11/26 16:26:06,7543.9403,2.0518,1.00,4.00,0.00,0.00,0.00,0.00,0.01316005,4.195831,0.05521734575155,2.724306,0.0001907451,,10.6834,0.0006210663,5439.572,0.0375,,0.01,0.004147,15.7092764229776,0.0399000493223648,
2021/11/26 16:56:06,9343.9834,1800.0021,1.00,5.00,0.00,0.00,0.00,0.00,0,4.185264,0,2.724306,0.0001907451,,10.6834,0.0006210663,5439.572,0.0375,,0.01,0.004147,15.77662,0.07930875,
2021/11/26 18:47:11,16009.3713,6665.3388,1.00,7.00,0.00,0.00,0.00,0.00,-1.500002,2.499985,-3.74998249997,2.724306,2.776328,3.65526508135355,10.6834,10.08919,5439.605,6662.791,,101.91,60.354957,17.6297,0.05478323,
2021/11/26 19:17:11,17809.4228,1800.0033,1.00,9.00,0.00,0.00,0.00,0.00,0,2.947861,0,2.724306,2.77633,,10.6834,10.0892,5439.605,6662.795,,101.91,60.355,15.58186,-0.04239023,
2021/11/26 20:54:11,23628.8112,5819.3461,1.00,10.00,0.00,0.00,0.00,0.00,0.04999704,4.199955,0.2099853181332,5.576182,2.776346,3.90918986142879,21.77875,10.08925,11256.83,6662.837,,49.79,60.355348,15.67933,-0.06427884,
2021/11/26 21:24:11,25428.864,1800.0031,1.00,12.00,0.00,0.00,0.00,0.00,0,4.186415,0,5.576182,2.776346,,21.77875,10.08925,11256.84,6662.837,,49.79,60.355348,15.62572,-0.05607665,
2021/11/26 22:09:47,28165.7121,2736.8096,1.00,13.00,0.00,0.00,0.00,0.00,-3.707207,2.499976,-9.267928527032,5.576183,5.594448,3.15852930550004,21.77875,20.08269,11256.88,9399.073,,100.33,121.618435,20.61143,-0.06509423,
2021/11/26 22:39:48,29965.7562,1800.0016,1.00,14.00,0.00,0.00,0.00,0.00,0,3.036195,0,5.576183,5.59445,,21.77875,20.08269,11256.88,9399.074,,100.33,121.618478,15.69222,-0.05197763,
2021/11/27 00:15:46,35724.2726,5758.453,1.00,10.00,1.00,1.00,0.00,0.00,0.04999127,4.199962,0.20996143433174,8.390319,5.594483,,32.74365,20.08279,17012.03,9399.106,,66.68,121.619196,15.68462,0.04429638,
2021/11/27 00:45:46,37524.3248,1800.0031,1.00,12.00,1.00,1.00,0.00,0.00,0,4.186373,0,8.39032,5.594483,,32.74365,20.08279,17012.04,9399.106,,66.68,121.619196,15.49167,0.005819798,
2021/11/27 01:08:23,38881.6157,1357.2502,1.00,13.00,1.00,1.00,0.00,0.00,-7.413269,2.499992,-18.533113193848,8.39032,8.388483,,32.74365,29.64404,17012.07,10755.84,,99.98,182.358326,28.21347,0.07017195,
2021/11/27 01:38:23,40681.659,1800.0022,1.00,14.00,1.00,1.00,0.00,0.00,0,3.088041,0,8.39032,8.388487,,32.74365,29.64405,17012.07,10755.85,,99.98,182.358413,15.54215,-0.09550452,
2021/11/27 03:14:12,46429.9625,5748.2378,1.00,10.00,2.00,2.00,0.00,0.00,0.04999853,4.199923,0.20998997611319,11.18242,8.388564,,43.6339,29.64429,22758.92,10755.88,,75.02,182.360087,15.53239,-0.0454843,
2021/11/27 03:44:12,48230.0169,1800.0039,1.00,12.00,2.00,2.00,0.00,0.00,0,4.186463,0,11.18242,8.388564,,43.6339,29.64429,22758.93,10755.88,,75.02,182.360087,15.77615,0.04962206,
2021/11/27 03:59:11,49129.2937,899.2352,1.00,13.00,2.00,2.00,0.00,0.00,-11.11932,2.49999,-27.7981888068,11.18275,11.16544,,43.63529,38.88579,22758.95,11654.89,,99.85,242.726957,36.60918,0.03343821,
2021/11/27 04:29:11,50929.3394,1800.0023,1.00,14.00,2.00,2.00,0.00,0.00,0,3.125758,0,11.18275,11.16546,,43.63529,38.88582,22758.95,11654.9,,99.85,242.727391,15.84439,0.0799036,
2021/11/27 06:04:35,56653.5694,5724.1659,1.00,10.00,3.00,3.00,0.00,0.00,0.04999913,4.20001,0.2099968459913,13.95723,11.16557,,54.46603,38.88616,28481.72,11654.93,,80,242.729783,15.59101,-0.09477735,
2021/11/27 06:34:35,58453.6191,1800.0017,1.00,12.00,3.00,3.00,0.00,0.00,0,4.186289,0,13.95723,11.16557,,54.46603,38.88616,28481.73,11654.93,,80,242.729783,15.73184,0.07537544,
2021/11/27 06:45:45,59122.8189,669.159,1.00,13.00,3.00,3.00,0.00,0.00,-14.82598,2.499928,-37.06388252944,13.95723,13.92071,,54.46603,47.83061,28481.77,12323.89,,99.74,302.62413,44.9906,0.02864003,
2021/11/27 07:15:45,60922.8638,1800.0032,1.00,14.00,3.00,3.00,0.00,0.00,0,3.166539,0,13.95723,13.92072,,54.46603,47.83062,28481.77,12323.89,,99.74,302.624348,15.83497,0.05317032,
2021/11/27 08:50:45,66623.326,5700.3974,1.00,10.00,4.00,4.00,0.00,0.00,0.04999887,4.200039,0.20999720395593,16.71021,13.92086,,65.2242,47.83107,34180.71,12323.93,,83.31,302.627391,15.81045,0.04280388,
