Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
1,2021/11/20 08:52:51,60.0007,60.0007,1,1,0,0,0,0,0,3.535574,0,0,0,0,0,,0.0000132770901473123,,,,3,-1,0.5,4.19999980926514,2.5,0.0500000007450581,0,0,0,0,0,0,0,0,0,0,25.1725,-0.08213401
2,2021/11/20 08:53:51,120.0005,120.0005,1,1,0,0,0,0,0,3.535683,0,0,0,0,0,,-0.0000263546407950344,,,,,,,,,,,,,,,,,,,,25.41713,0.0159508
3,2021/11/20 08:54:51,180.0015,180.0015,1,1,0,0,0,0,0,3.53584,0,0,0,0,0,,0.0000295929203275591,,0,0,,,,,,,,,,,,,,,,,25.10144,-0.09436488
4,2021/11/20 08:55:51,240.0022,240.0022,1,1,0,0,0,0,0,3.535923,0,0,0,0,0,,0.000014461339560512,,,,,,,,,,,,,,,,,,,,25.49121,0.0360626
5,2021/11/20 08:56:51,300.0016,300.0016,1,1,0,0,0,0,0,3.535897,0,0,0,0,0,,-0.0000272616107395152,,0,0,,,,,,,,,,,,,,,,,25.23293,-0.08515179
6,2021/11/20 08:57:51,360.0015,360.0015,1,1,0,0,0,0,0,3.535772,0,0,0,0,0,,-0.0000144209998325096,,,,,,,,,,,,,,,,,,,,25.47787,0.042274
7,2021/11/20 08:58:51,420.0016,420.0016,1,1,0,0,0,0,0,3.535815,0,0,0,0,0,,-0.0000192027691809926,,0,0,,,,,,,,,,,,,,,,,25.45393,0.07991076
8,2021/11/20 08:59:51,480.0012,480.0012,1,1,0,0,0,0,0,3.535883,0,0,0,0,0,,-0.0000032003019896365,,,,,,,,,,,,,,,,,,,,25.41183,-0.1022768
9,2021/11/20 09:00:51,540.0012,540.0012,1,1,0,0,0,0,0,3.535913,0,0,0,0,0,,0.0000107868299892289,,0,0,,,,,,,,,,,,,,,,,25.29327,0.0514698
10,2021/11/20 09:01:51,600.0003,600.0003,1,1,0,0,0,0,0,3.536067,0,0,0,0,0,,0.0000162405904120533,,,,,,,,,,,,,,,,,,,,25.11428,-0.1128316
11,2021/11/20 09:02:51,660.0001,660.0001,1,1,0,0,0,0,0,3.535838,0,0,0,0,0,,0.0000261562108789803,,0,0,,,,,,,,,,,,,,,,,25.31458,-0.01762986
12,2021/11/20 09:03:51,720.0024,720.0024,1,1,0,0,0,0,0,3.535773,0,0,0,0,0,,0.00000940390327741625,,,,,,,,,,,,,,,,,,,,25.25827,-0.0664258
13,2021/11/20 09:04:51,780.0016,780.0016,1,1,0,0,0,0,0,3.535924,0,0,0,0,0,,-0.0000175817604031181,,0,0,,,,,,,,,,,,,,,,,25.35461,0.07908165
14,2021/11/20 09:05:51,840.0021,840.0021,1,1,0,0,0,0,0,3.536035,0,0,0,0,0,,-0.0000111818599179969,,,,,,,,,,,,,,,,,,,,25.40433,-0.007873774
15,2021/11/20 09:06:51,900.0023,900.0023,1,1,0,0,0,0,0,3.535949,0,0,0,0,0,,-0.0000318052116199397,,0,0,,,,,,,,,,,,,,,,,25.54184,0.1039118
16,2021/11/20 09:07:51,960.0009,960.0009,1,1,0,0,0,0,0,3.535718,0,0,0,0,0,,0.0000193214691535104,,,,,,,,,,,,,,,,,,,,25.51565,0.1080793
17,2021/11/20 09:08:51,1020.0026,1020.0026,1,1,0,0,0,0,0,3.53575,0,0,0,0,0,,0.0000363509207090829,,0,0,,,,,,,,,,,,,,,,,25.41224,0.01237631
18,2021/11/20 09:09:51,1080.0017,1080.0017,1,1,0,0,0,0,0,3.53576,0,0,0,0,0,,-0.0000332692688971292,,,,,,,,,,,,,,,,,,,,25.12413,-0.1058716
19,2021/11/20 09:10:51,1140.0022,1140.0022,1,1,0,0,0,0,0,3.536017,0,0,0,0,0,,-0.000018808899767464,,0,0,,,,,,,,,,,,,,,,,25.45493,0.127517
20,2021/11/20 09:11:51,1200.0012,1200.0012,1,1,0,0,0,0,0,3.53596,0,0,0,0,0,,-0.00000762515901442384,,,,,,,,,,,,,,,,,,,,25.39501,0.1169562
21,2021/11/20 09:12:51,1260.0021,1260.0021,1,1,0,0,0,0,0,3.536124,0,0,0,0,0,,-0.00000572960107092513,,0,0,,,,,,,,,,,,,,,,,25.43314,0.1052874
22,2021/11/20 09:13:51,1320.0003,1320.0003,1,1,0,0,0,0,0,3.535783,0,0,0,0,0,,-0.00000537365895070252,,,,,,,,,,,,,,,,,,,,25.3875,-0.08920908
23,2021/11/20 09:14:51,1380.0002,1380.0002,1,1,0,0,0,0,0,3.535832,0,0,0,0,0,,0.0000171889496414224,,0,0,,,,,,,,,,,,,,,,,25.21073,-0.07562637
24,2021/11/20 09:15:51,1440.0017,1440.0017,1,1,0,0,0,0,0,3.535857,0,0,0,0,0,,-0.0000187298701348482,,,,,,,,,,,,,,,,,,,,25.24144,0.09239793
25,2021/11/20 09:16:51,1500.0014,1500.0014,1,1,0,0,0,0,0,3.535932,0,0,0,0,0,,-0.0000239064593188232,,0,0,,,,,,,,,,,,,,,,,25.21161,0.07115126
26,2021/11/20 09:17:51,1560.0022,1560.0022,1,1,0,0,0,0,0,3.535925,0,0,0,0,0,,-0.0000337826495524496,,,,,,,,,,,,,,,,,,,,25.23393,-0.09005845
27,2021/11/20 09:18:51,1620.0004,1620.0004,1,1,0,0,0,0,0,3.535781,0,0,0,0,0,,0.0000259595108218491,,0,0,,,,,,,,,,,,,,,,,25.42519,0.1010072
28,2021/11/20 09:19:51,1680.0011,1680.0011,1,1,0,0,0,0,0,3.535701,0,0,0,0,0,,-0.0000114189297164558,,,,,,,,,,,,,,,,,,,,25.1783,-0.07827878
29,2021/11/20 09:20:51,1740.0015,1740.0015,1,1,0,0,0,0,0,3.535872,0,0,0,0,0,,-0.0000447636084572878,,0,0,,,,,,,,,,,,,,,,,25.40119,0.02188265
30,2021/11/20 09:21:51,1800.001,1800.001,1,1,0,0,0,0,0,3.535974,0,0,0,0,0,,-0.00000837707193568349,,,,,,,,,,,,,,,,,,,,25.43843,0.09518266
31,2021/11/20 09:21:51,1800.0024,1800.0024,1,1,0,0,0,0,0,3.535974,0,0,0,0,0,,-0.00000837707193568349,0,0,0,,,,,,,,,,,,,,,,,25.43843,0.09518266
32,2021/11/20 09:21:56,1805.0464,5.0017,1,2,0,0,0,0,1.498688,3.57444,5.35697033472,0.001956897,0.0001536697,0.006986924,0.0005433871,,0.00111795600969344,,0.115224599838257,175.922607421875,,,,,,,,,,,,,,,,,25.29465,0.02444327
33,2021/11/20 09:22:01,1810.0467,10.002,1,2,0,0,0,0,1.498695,3.579089,5.363962788855,0.004038621,0.0001536697,0.01443269,0.0005433871,,0.000882923719473183,,0.324689090251923,3.17108011245728,,,,,,,,,,,,,,,,,25.09033,-0.05869269
34,2021/11/20 09:22:06,1815.0452,15.0005,1,2,0,0,0,0,1.498978,3.582801,5.370539877378,0.0061196,0.0001536697,0.02188474,0.0005433871,,0.000685784674715251,,0.463232010602951,,,,,,,,,,,,,,,,,,25.24895,0.05605638
35,2021/11/20 09:22:11,1820.0467,20.002,1,2,0,0,0,0,1.499832,3.586316,5.378871498912,0.008202212,0.0001536697,0.02935009,0.0005433871,,0.000786370015703142,,0.594460427761078,,,,,,,,,,,,,,,,,,25.46865,0.1194823
36,2021/11/20 09:22:16,1825.0451,25.0004,1,2,0,0,0,0,1.49929,3.589431,5.38159800399,0.01028255,0.0001536697,0.03681397,0.0005433871,,0.000645290303509682,,,1.78849399089813,,,,,,,,,,,,,,,,,25.24747,0.03412783
37,2021/11/20 09:22:21,1830.0462,30.0015,1,2,0,0,0,0,1.499107,3.591719,5.384371094933,0.01236261,0.0001536697,0.04428282,0.0005433871,,0.000458485912531614,,0.696714818477631,,,,,,,,,,,,,,,,,,25.28699,0.007660985
38,2021/11/20 09:22:26,1835.0458,35.0011,1,2,0,0,0,0,1.498039,3.594523,5.384735640397,0.01444403,0.0001536697,0.05176193,0.0005433871,,0.000482127914438024,,,,,,,,,,,,,,,,,,,,25.48373,0.1182175
39,2021/11/20 09:22:31,1840.0462,40.0015,1,2,0,0,0,0,1.498726,3.596943,5.390831994618,0.01652536,0.0001536697,0.05924577,0.0005433871,,0.000533382990397513,,0.794691383838654,,,,,,,,,,,,,,,,,,25.30348,0.06673694
40,2021/11/20 09:22:36,1845.0457,45.001,1,2,0,0,0,0,1.498894,3.599045,5.39458695623,0.01860629,0.0001536697,0.06673285,0.0005433871,,0.000416721508372575,,,1.23640203475952,,,,,,,,,,,,,,,,,25.08241,-0.06810725
41,2021/11/20 09:22:41,1850.0454,50.0007,1,2,0,0,0,0,1.498817,3.60083,5.39698521811,0.02068579,0.0001536697,0.07421917,0.0005433871,,0.000553974823560566,,0.940179228782654,,,,,,,,,,,,,,,,,,25.26308,-0.05327106
42,2021/11/20 09:22:46,1855.0463,55.0016,1,2,0,0,0,0,1.498436,3.60289,5.39870008004,0.02276629,0.0001536697,0.08171322,0.0005433871,,0.00038768831291236,,,,,,,,,,,,,,,,,,,,25.49084,0.01137257
43,2021/11/20 09:22:51,1860.0455,60.0008,1,2,0,0,0,0,1.499634,3.604902,5.406033605868,0.02484832,0.0001536697,0.08921666,0.0005433871,,0.000300096085993573,,,,,,,,,,,,,,,,,,,,25.42912,-0.03092468
44,2021/11/20 09:22:56,1865.046,65.0013,1,2,0,0,0,0,1.499237,3.606406,5.406857312222,0.02692913,0.0001536697,0.09671933,0.0005433871,,0.000329668808262795,,1.13029503822327,,,,,,,,,,,,,,,,,,25.18933,-0.1094747
45,2021/11/20 09:23:01,1870.0463,70.0016,1,2,0,0,0,0,1.498695,3.608224,5.40762726768,0.02901103,0.0001536697,0.1042294,0.0005433871,,0.000429051404353231,,,0.911933720111847,,,,,,,,,,,,,,,,,25.49875,-0.0003111362
46,2021/11/20 09:23:06,1875.045,75.0003,1,2,0,0,0,0,1.498604,3.60973,5.40955581692,0.03109042,0.0001536697,0.1117338,0.0005433871,,0.000292922894004732,,,,,,,,,,,,,,,,,,,,25.40555,-0.03924668
47,2021/11/20 09:23:11,1880.0472,80.0025,1,2,0,0,0,0,1.498978,3.611384,5.413385165552,0.03317352,0.0001536697,0.1192548,0.0005433871,,0.000305696710711345,,1.25556004047394,,,,,,,,,,,,,,,,,,25.1699,-0.1238561
48,2021/11/20 09:23:16,1885.0459,85.0012,1,2,0,0,0,0,1.499359,3.612774,5.416845211866,0.03525358,0.0001536697,0.1267678,0.0005433871,,0.00032132730120793,,,,,,,,,,,,,,,,,,,,25.60443,0.0579679
49,2021/11/20 09:23:21,1890.0452,90.0005,1,2,0,0,0,0,1.497627,3.613979,5.412392527833,0.03733616,0.0001536697,0.1342928,0.0005433871,,0.000245208211708814,,,,,,,,,,,,,,,,,,,,25.12864,-0.07392228
50,2021/11/20 09:23:26,1895.045,95.0003,1,2,0,0,0,0,1.497734,3.615514,5.415078245276,0.03941676,0.0001536697,0.1418137,0.0005433871,,0.000218702101847157,,1.46794700622559,,,,,,,,,,,,,,,,,,25.55914,0.06840944
51,2021/11/20 09:23:31,1900.0461,100.0014,1,2,0,0,0,0,1.498543,3.617066,5.420328934838,0.04149865,0.0001536697,0.1493419,0.0005433871,,,,,,,,,,,,,,,,,,,,,,25.19251,-0.02316415
52,2021/11/20 09:23:36,1905.0451,105.0004,1,2,0,0,0,0,1.499031,3.617909,5.423357746179,0.04357969,0.0001536697,0.1568698,0.0005433871,,0.000178947899257764,,,0.691326379776001,,,,,,,,,,,,,,,,,25.57871,0.0744915
53,2021/11/20 09:23:41,1910.0463,110.0016,1,2,0,0,0,0,1.498222,3.619395,5.42265721569,0.04566121,0.0001536697,0.1644022,0.0005433871,,0.000216804299270734,,,,,,,,,,,,,,,,,,,,25.21465,-0.09712636
54,2021/11/20 09:23:46,1915.0469,115.0022,1,2,0,0,0,0,1.498711,3.620613,5.426252529843,0.04774295,0.0001536697,0.171938,0.0005433871,,0.000190222999663092,,1.62580704689026,,,,,,,,,,,,,,,,,,25.53695,-0.003318191
55,2021/11/20 09:23:51,1920.0462,120.0015,1,2,0,0,0,0,1.498909,3.622,5.429048398,0.04982292,0.0001536697,0.1794699,0.0005433871,,0.000254128506639972,,,,,,,,,,,,,,,,,,,,25.29727,-0.07907033
56,2021/11/20 09:23:56,1925.0471,125.0024,1,2,0,0,0,0,1.497772,3.623227,5.426767950244,0.05190441,0.0001536697,0.18701,0.0005433871,,0.000262754911091179,,,,,,,,,,,,,,,,,,,,25.43181,-0.005664229
57,2021/11/20 09:24:01,1930.045,130.0003,1,2,0,0,0,0,1.498596,3.624033,5.430961357668,0.05398445,0.0001536697,0.1945474,0.0005433871,,0.00019885970687028,,,,,,,,,,,,,,,,,,,,25.50985,0.08184314
58,2021/11/20 09:24:06,1935.0456,135.0009,1,2,0,0,0,0,1.499161,3.625598,5.435355123278,0.05606595,0.0001536697,0.2020925,0.0005433871,,0.000278194202110171,,1.72090303897858,,,,,,,,,,,,,,,,,,25.20802,-0.03815949
59,2021/11/20 09:24:11,1940.0449,140.0002,1,2,0,0,0,0,1.497879,3.626712,5.432375743848,0.05814581,0.0001536697,0.209634,0.0005433871,,,,,,,,,,,,,,,,,,,,,,25.59904,0.1134402
60,2021/11/20 09:24:16,1945.0458,145.0011,1,2,0,0,0,0,1.497765,3.627787,5.433572396055,0.06022621,0.0001536697,0.2171801,0.0005433871,,0.000211602600757033,,,0.591252624988556,,,,,,,,,,,,,,,,,25.28668,0.02817929
61,2021/11/20 09:24:21,1950.0459,150.0012,1,2,0,0,0,0,1.498383,3.628918,5.437509039594,0.06230696,0.0001536697,0.2247299,0.0005433871,,0.000242684298427776,,,,,,,,,,,,,,,,,,,,25.37411,0.03742993
62,2021/11/20 09:24:26,1955.0452,155.0005,1,2,0,0,0,0,1.498657,3.630175,5.440387174975,0.06438848,0.0001536697,0.2322848,0.0005433871,,0.000164498196681961,,,,,,,,,,,,,,,,,,,,25.54764,0.09031177
63,2021/11/20 09:24:31,1960.0468,160.0021,1,2,0,0,0,0,1.498741,3.631338,5.442435145458,0.06646989,0.0001536697,0.2398418,0.0005433871,,0.000226743097300641,,1.75329995155334,,,,,,,,,,,,,,,,,,25.22353,-0.04164457
64,2021/11/20 09:24:36,1965.045,165.0003,1,2,0,0,0,0,1.499176,3.632514,5.445777808464,0.06855118,0.0001536697,0.2474007,0.0005433871,,0.000290144205791876,,,,,,,,,,,,,,,,,,,,25.50463,0.06935179
65,2021/11/20 09:24:41,1970.0451,170.0004,1,2,0,0,0,0,1.498093,3.633484,5.443296946012,0.07063317,0.0001536697,0.2549644,0.0005433871,,0.000181339593837038,,,,,,,,,,,,,,,,,,,,25.44513,0.03301382
66,2021/11/20 09:24:46,1975.0477,175.003,1,2,0,0,0,0,1.498184,3.634468,5.445101806112,0.07271432,0.0001536697,0.2625275,0.0005433871,,,,,,,,,,,,,,,,,,,,,,25.26845,-0.08446395
67,2021/11/20 09:24:51,1980.0462,180.0015,1,2,0,0,0,0,1.498596,3.63557,5.44825065972,0.07479449,0.0001536697,0.2700892,0.0005433871,,0.000168934595421888,,1.92342102527618,,,,,,,,,,,,,,,,,,25.64082,0.07131219
68,2021/11/20 09:24:56,1985.0453,185.0006,1,2,0,0,0,0,1.499069,3.636819,5.451842621511,0.07687419,0.0001536697,0.2776515,0.0005433871,,0.000229844896239229,,,,,,,,,,,,,,,,,,,,25.31059,-0.09542048
69,2021/11/20 09:25:01,1990.0448,190.0001,1,2,0,0,0,0,1.498451,3.63789,5.45119990839,0.07895643,0.0001536697,0.2852252,0.0005433871,,0.000227294192882255,,,0.533809423446655,,,,,,,,,,,,,,,,,25.58174,-0.01583934
70,2021/11/20 09:25:06,1995.0457,195.001,1,2,0,0,0,0,1.498512,3.638939,5.452993758768,0.081037,0.0001536697,0.2927949,0.0005433871,,0.000218874993151985,,,,,,,,,,,,,,,,,,,,25.56136,-0.01775801
71,2021/11/20 09:25:11,2000.0449,200.0002,1,2,0,0,0,0,1.498711,3.639796,5.455002302956,0.08311824,0.0001536697,0.3003694,0.0005433871,,0.000266012793872505,,,,,,,,,,,,,,,,,,,,25.38333,-0.1002693
72,2021/11/20 09:25:16,2005.0449,205.0002,1,2,0,0,0,0,1.498833,3.640971,5.457207486843,0.08519989,0.0001536697,0.3079475,0.0005433871,,0.000269732408924028,,1.93552005290985,,,,,,,,,,,,,,,,,,25.65771,0.01027286
73,2021/11/20 09:25:21,2010.045,210.0003,1,2,0,0,0,0,1.499107,3.641792,5.459435879744,0.08728139,0.0001536697,0.3155271,0.0005433871,,0.000198061403352767,,,,,,,,,,,,,,,,,,,,25.61683,-0.009467602
