Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/21 09:37:26,3600.0046,3600.0046,1.00,1.00,0.00,0.00,0.00,0.00,0,2.995892,0,0,0,,0,0,0,0,,0,0,25.13327,0.07114589,
2021/11/21 11:55:32,11885.311,8285.2649,1.00,2.00,0.00,0.00,0.00,0.00,0.04998929,4.200048,0.20995741748592,2.986761,2.828657E-05,3.80961125039415,11.40679,8.472583E-05,8284.236,0.067,,0,0.000615,25.31352,-0.0818634,
2021/11/21 12:25:32,13685.3582,1800.0054,1.00,3.00,0.00,0.00,0.00,0.00,0,4.186888,0,2.986761,2.828657E-05,,11.40679,8.472583E-05,8284.241,0.067,,0,0.000615,25.22181,-0.06739378,
2021/11/21 14:26:59,20972.7666,7287.3644,1.00,4.00,0.00,0.00,0.00,0.00,-1.503967,2.499862,-3.759709952554,2.986761,3.043528,3.65880075759747,11.40679,11.06619,8284.251,7286.518,,101.9,66.163652,27.83374,-0.01312912,
2021/11/21 14:56:59,22772.8231,1800.0031,1.00,6.00,0.00,0.00,0.00,0.00,0,2.870268,0,2.986761,3.043531,,11.40679,11.0662,8284.251,7286.527,,101.9,66.163717,25.27567,-0.03931642,
2021/11/21 17:13:52,30985.3491,8212.4787,1.00,7.00,0.00,0.00,0.00,0.00,0.04999741,4.199965,0.20998737209065,5.988464,3.043546,3.80723344262681,22.85631,11.06625,16495.75,7286.565,,50.82,66.164043,25.54386,-0.05900562,
2021/11/21 17:13:54,30987.4603,2.052,1.00,8.00,0.00,0.00,0.00,0.00,0.2500061,4.203743,1.0509613928323,5.988464,3.043546,-∞,22.85631,11.06625,16495.75,7286.565,,50.82,66.164043,25.5430053324636,-0.0580957952448165,
2021/11/21 19:13:54,38187.5058,7200.0032,1.00,9.00,0.00,0.00,0.00,0.00,0,4.181256,0,5.988464,3.043546,,22.85631,11.06625,16495.75,7286.565,,50.82,66.164043,25.19097,-0.07549584,
2021/11/22 21:49:02,133895.701899,95708.1526,1.00,10.00,0.00,0.00,0.00,0.00,-0.1242371,2.499864,-0.3105758537544,5.988464,6.373705,3.70746226097682,22.85631,23.33558,16495.78,102978.1,,106.43,138.558804,25.66619,-0.05976021,
2021/11/22 23:49:02,141095.7497,7200.0034,1.00,11.00,0.00,0.00,0.00,0.00,0,2.740608,0,5.988464,6.373705,,22.85631,23.33558,16495.78,102978.1,,106.43,138.558804,25.47911,0.0812912,
2021/11/23 23:18:33,225666.3092,84570.5181,1.00,12.00,0.00,0.00,0.00,0.00,0.1200714,4.20007,0.504308284998,8.805771,6.373707,3.74046447544278,33.42484,23.33559,101038.4,102978.1,,72.38,138.558848,25.20901,0.04595518,
