Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
1,2021/11/21 08:39:26,120.0031,120.0031,1,1,0,0,0,0,0,2.971197,0,0,0,0,0,,0.0000392764304706361,,,,3,-0.5,0.5,0.0399999991059303,4.19999980926514,2.5,0.0500000007450581,0,0,0,0,0,0,0,0,0,25.01243,-0.09770036
2,2021/11/21 08:41:26,240.0002,240.0002,1,1,0,0,0,0,0,2.972075,0,0,0,0,0,,0.0000168717106134864,,0,0,,,,,,,,,,,,,,,,,25.16637,-0.07325768
3,2021/11/21 08:43:26,360,360,1,1,0,0,0,0,0,2.97334,0,0,0,0,0,,0.0000257600295299198,,0,0,,,,,,,,,,,,,,,,,25.37892,0.1037842
4,2021/11/21 08:45:26,480.0029,480.0029,1,1,0,0,0,0,0,2.974682,0,0,0,0,0,,0.0000558335086680017,,0,0,,,,,,,,,,,,,,,,,25.2853,-0.014112
5,2021/11/21 08:47:26,600.0012,600.0012,1,1,0,0,0,0,0,2.975654,0,0,0,0,0,,0.0000170695493579842,,0,0,,,,,,,,,,,,,,,,,25.09691,0.00734508
6,2021/11/21 08:49:26,720.0015,720.0015,1,1,0,0,0,0,0,2.976709,0,0,0,0,0,,-0.0000067966047936352,,0,0,,,,,,,,,,,,,,,,,25.02058,-0.02201378
7,2021/11/21 08:51:26,840.0012,840.0012,1,1,0,0,0,0,0,2.97802,0,0,0,0,0,,-0.00000644059491605731,,0,0,,,,,,,,,,,,,,,,,25.03891,-0.06243825
8,2021/11/21 08:53:26,960.0017,960.0017,1,1,0,0,0,0,0,2.978728,0,0,0,0,0,,-0.00000256848397839349,,0,0,,,,,,,,,,,,,,,,,25.01036,-0.004733205
9,2021/11/21 08:55:26,1080.0009,1080.0009,1,1,0,0,0,0,0,2.979849,0,0,0,0,0,,-0.0000310186187562067,,0,0,,,,,,,,,,,,,,,,,25.02985,0.01057446
10,2021/11/21 08:57:26,1200.0003,1200.0003,1,1,0,0,0,0,0,2.980677,0,0,0,0,0,,0.0000178990194399375,,0,0,,,,,,,,,,,,,,,,,25.35706,0.07943034
11,2021/11/21 08:59:26,1320.0012,1320.0012,1,1,0,0,0,0,0,2.981633,0,0,0,0,0,,-0.00000363491108146263,,0,,,,,,,,,,,,,,,,,,24.99524,-0.09222269
12,2021/11/21 09:01:26,1440.0014,1440.0014,1,1,0,0,0,0,0,2.982522,0,0,0,0,0,,0.00000537330288352678,,0,,,,,,,,,,,,,,,,,,25.42496,0.06185949
13,2021/11/21 09:03:26,1560.0003,1560.0003,1,1,0,0,0,0,0,2.983443,0,0,0,0,0,,0.0000201483799173729,,0,,,,,,,,,,,,,,,,,,25.15741,-0.09241998
14,2021/11/21 09:05:26,1680.0012,1680.0012,1,1,0,0,0,0,0,2.984123,0,0,0,0,0,,0.000030107799830148,,0,,,,,,,,,,,,,,,,,,25.43206,0.04142225
15,2021/11/21 09:07:26,1800.0029,1800.0029,1,1,0,0,0,0,0,2.985229,0,0,0,0,0,,0.00000375362810700608,,0,,,,,,,,,,,,,,,,,,25.39219,0.04861593
16,2021/11/21 09:09:26,1920.0014,1920.0014,1,1,0,0,0,0,0,2.985824,0,0,0,0,0,,0.0000349694491887931,,0,,,,,,,,,,,,,,,,,,25.24557,0.08471549
17,2021/11/21 09:11:26,2040,2040,1,1,0,0,0,0,0,2.986758,0,0,0,0,0,,0.0000151322901729145,,0,,,,,,,,,,,,,,,,,,25.33792,-0.0484699
18,2021/11/21 09:13:26,2160.0016,2160.0016,1,1,0,0,0,0,0,2.987502,0,0,0,0,0,,0.0000367083484889008,,0,,,,,,,,,,,,,,,,,,25.20788,-0.04563987
