Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/24 11:09:07,7200.0024,7200.0024,1.00,1.00,0.00,0.00,0.00,0.00,0,4.174881,0,0,0,,0,0,0,0,,0,0,25.47441,-0.09774506,
2021/11/24 11:15:12,7565.655,365.6107,1.00,2.00,0.00,0.00,0.00,0.00,0.04998972,4.199955,0.2099545744626,0.0206985,2.823723E-08,4.19997967278231,0.08693314,1.178906E-07,365.4427,0.03,,0,1E-06,25.33652,-0.1033884,
2021/11/24 11:45:13,9365.7064,1800.0037,1.00,4.00,0.00,0.00,0.00,0.00,0,4.194765,0,4.284328E-08,0,,0.08693356,1.178906E-07,365.4508,0.03,,0,0,25.54536,0.06673515,
2021/11/24 11:45:15,9367.7912,2.0447,1.00,5.00,0.00,0.00,0.00,0.00,0.2499934,4.200174,1.0500157788516,4.284328E-08,0,-∞,0.08693356,1.178906E-07,365.4508,0.03,,0,0,25.5445190598613,0.0662175691298469,
2021/11/24 11:55:15,9967.8345,600.0022,1.00,6.00,0.00,0.00,0.00,0.00,0,4.194425,0,4.284328E-08,0,,0.08693356,1.178906E-07,365.4508,0.03,,0,0,25.55016,0.08180022,
2021/11/24 12:14:14,11107.4474,600.005,1.00,8.00,0.00,0.00,0.00,0.00,0,4.19429,0,4.284328E-08,0,,0.08693356,1.178906E-07,365.4508,0.03,,0,0,25.24454,-0.1090974,
2021/11/24 14:15:09,18361.6985,7254.1996,1.00,10.00,0.00,0.00,0.00,0.00,-1.502899,2.499972,-3.757205418828,2.361048E-07,3.02808,3.66246232217415,0.08693454,11.02199,365.4542,7252.612,,1282515400,65.827826,28.09158,0.04344821,
2021/11/24 14:45:09,20161.7456,1800.0045,1.00,11.00,0.00,0.00,0.00,0.00,0,2.890258,0,2.361048E-07,3.028082,,0.08693454,11.02199,365.4542,7252.616,,1282516100,65.82787,25.65511,0.08572102,
2021/11/24 17:02:09,28382.4657,8220.6797,1.00,12.00,0.00,0.00,0.00,0.00,0.0499949,4.199914,0.2099742804386,2.970633,3.028096,3.80952800631113,11.42239,11.02203,8583.894,7252.656,,101.93,65.828174,25.37386,-0.007203221,
2021/11/24 17:32:09,30182.5081,1800.0037,1.00,13.00,0.00,0.00,0.00,0.00,0,4.187495,0,2.970633,3.028096,,11.42239,11.02203,8583.896,7252.656,,101.93,65.828174,25.25173,0.04537344,
2021/11/24 19:29:32,37224.7734,7042.2232,1.00,14.00,0.00,0.00,0.00,0.00,-0.04740143,3.600079,-0.17064889271297,2.970634,5.056623,3.81737453295095,11.42239,18.7777,8583.93,14293.32,,170.22,109.926587,25.78283,0.04657686,
