Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/09 01:08:35,43051.1196,300.0037,1,29,0,2,11,0,0,4.188679,0,5.487377,5.484247,21.12708,19.73105,16480.75,8201.997,,99.94,119.222761,30.08942,-0.04284859,30.23326,-0.07891536,30.46032,0.1531124,
2021/12/09 04:39:42,55718.4239,300.0022,2,29,1,2,11,0,0,4.188617,0,7.982367,7.9865,30.7888,28.58772,7197.498,1205.759,,100.05,173.619565,30.25448,0.08649528,30.29277,0.008143783,30.26721,-0.04908085,
2021/12/09 08:10:38,68374.064199,300.0024,3,29,2,2,11,0,0,4.188586,0,10.47363,10.48574,40.43553,37.43381,7185.851,1205.893,,100.12,227.95087,29.99647,0.0570339,29.73196,-0.1011127,29.64271,-0.08793116,
2021/12/09 11:41:17,81013.7535,300.0026,4,29,3,2,11,0,0,4.188374,0,12.96581,12.98593,50.08414,46.27994,7169.848,1205.912,,100.16,282.302826,29.93386,-0.03093898,29.97213,0.1017672,29.89711,0.1062292,
2021/12/09 15:12:07,93663.8058,300.004,5,29,4,2,11,0,0,4.188898,0,15.45837,15.48698,59.73285,55.12693,7180.131,1206.018,,100.19,336.673478,30.10091,0.07504404,30.18141,0.0557977,30.14172,0.08003831,
2021/12/09 18:42:47,106303.7799,300.0032,6,29,5,2,11,0,0,4.188379,0,17.95133,17.98829,69.38229,63.97364,7169.979,1206.011,,100.21,391.049783,30.13613,-0.04976034,30.22367,0.1153058,30.19103,0.126369,
2021/12/09 22:13:41,118957.6149,300.0031,7,29,6,2,11,0,0,4.188514,0,20.44593,20.48983,79.03763,72.82008,7183.82,1205.981,,100.21,445.431087,30.30397,0.05198002,30.18748,0.09074509,30.13371,0.02476275,
2021/12/10 01:44:28,131604.662699,300.0039,8,29,7,2,11,0,0,4.18882,0,22.93983,22.99137,88.6899,81.66637,7176.979,1205.937,,100.22,499.812391,30.67846,0.08856654,30.41443,0.004280806,30.27633,-0.07488251,
2021/12/10 05:15:26,144262.256,300.0041,9,29,8,2,11,0,0,4.188873,0,25.43444,25.49322,98.34454,90.51269,7187.314,1205.972,,100.23,554.200435,30.42686,0.07129669,30.13451,0.03622532,30.00325,-0.05177617,
2021/12/10 08:46:14,156910.8702,300.0022,10,29,9,2,11,0,0,4.188914,0,27.92802,27.99459,107.9947,99.35709,7178.101,1205.713,,100.24,608.578043,30.29169,0.03421187,30.05556,-0.1262039,29.95241,-0.08884192,
2021/12/10 21:33:15,202931.4071,300.0015,11,29,0,2,11,1,0,4.189006,0,5.441297,5.461229,20.95148,19.62992,15963.55,8320.015,,100.37,118.72237,30.16751,-0.07527471,30.2058,0.09676576,30.34913,0.09462416,
2021/12/11 01:04:09,215585.9561,300.0034,12,29,1,2,11,1,0,4.188952,0,7.934506,7.961985,30.60469,28.47538,7184.64,1205.829,,100.35,173.08663,30.09651,-0.09855866,30.12775,-0.1120377,30.24292,-0.03510535,
2021/12/11 04:34:59,228235.7626,300.004,13,29,2,2,11,1,0,4.189038,0,10.4283,10.46335,40.25868,37.32079,7179.821,1205.809,,100.34,227.46413,30.30065,0.05483508,30.44446,0.01252651,30.42601,0.0543201,
2021/12/11 08:05:48,240884.7842,300.0033,14,29,3,2,11,1,0,4.189049,0,12.92271,12.96518,49.91368,46.16553,7178.568,1205.743,,100.33,281.851739,30.29214,-0.03614664,30.04896,0.05874038,29.96907,-0.07968545,
2021/12/11 11:36:54,253550.5868,300.0023,15,29,4,2,11,1,0,4.189103,0,15.41761,15.46743,59.56946,55.01018,7195.306,1205.694,,100.32,336.248478,30.41236,0.07462382,30.28185,0.1306158,30.15773,0.04705131,
2021/12/11 15:07:45,266201.5979,300.0035,16,29,5,2,11,1,0,4.18899,0,17.91283,17.97046,69.22588,63.85643,7180.474,1205.908,,100.32,390.662174,29.73219,-0.1153994,29.81973,0.01029074,29.99118,0.06970704,
2021/12/11 18:38:40,278856.5364,300.0048,17,29,6,2,11,1,0,4.188741,0,20.40837,20.47382,78.88287,72.7028,7184.333,1205.933,,100.32,445.083043,29.92245,-0.05134583,29.87622,-0.1399791,30.01951,-0.1136094,
2021/12/11 22:09:28,291504.7983,300.0024,18,29,7,2,11,1,0,4.188757,0,22.90388,22.97738,88.53921,81.54902,7177.631,1205.911,,100.32,499.508261,29.72643,-0.03712356,29.60971,-0.1627213,30.11127,0.1168478,
