Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/08 14:09:47,3600.0022,3600.0022,1.00,1.00,0.00,0.00,0.00,0.00,0,4.160246,0,0,0,,0,0,0,0,,0,0,30.17747,-0.08875847,29.94126,-0.04397511,29.91553,0.03079593,
2021/12/08 14:18:04,4096.7529,496.7098,1.00,2.00,0.00,0.00,0.00,0.00,0.04999159,4.200042,0.20996677764678,0.03900824,1.75476E-10,4.19986972775415,0.1638278,7.298706E-10,496.5104,0.0069,,0,0,29.85291,-0.0483644,29.93341,-0.1058239,30.04853,-0.05965829,
2021/12/08 14:48:04,5896.795,1800.0019,1.00,3.00,0.00,0.00,0.00,0.00,0,4.194908,0,0.03900824,1.75476E-10,,0.1638278,7.298706E-10,496.5104,0.0069,,0,0,30.11732,0.0490731,29.91627,-0.1091945,29.77781,-0.09821713,
2021/12/08 16:43:52,12844.3076,6947.4714,1.00,4.00,0.00,0.00,0.00,0.00,-1.50164,2.499997,-3.75409549508,0.0390083,2.898267,3.66538771538507,0.1638281,10.55462,496.5234,6946.635,,7429.87,63.005804,31.8478,-0.06955147,31.36,0.06705999,31.686,0.1219082,
2021/12/08 17:13:52,14644.3641,1800.0029,1.00,6.00,0.00,0.00,0.00,0.00,0,2.884239,0,0.0390083,2.898268,,0.1638281,10.55462,496.5234,6946.638,,7429.88,63.005826,30.21914,0.0206244,29.98295,0.0745368,29.86567,0.02613723,
2021/12/08 19:29:22,22774.8645,8130.4593,1.00,7.00,0.00,0.00,0.00,0.00,0.04999279,4.199888,0.20996411880752,2.907631,2.898283,3.80793990591269,11.10035,10.55466,8625.64,6946.674,,99.68,63.006152,30.37006,0.05299449,30.4576,-0.04835248,30.56579,0.01537919,
2021/12/08 19:34:22,23074.9108,300.0039,1.00,8.00,0.00,0.00,0.00,0.00,0,4.194444,0,2.907631,2.898283,,11.10035,10.55466,8625.642,6946.674,,99.68,63.006152,30.60224,-0.1298797,30.31002,-0.02902031,30.27743,-0.07741034,
2021/12/08 20:39:21,26973.6724,3600.0029,1.00,10.00,0.00,0.00,0.00,0.00,0,4.186425,0,2.907631,2.898283,,11.10035,10.55466,8625.642,6946.674,,99.68,63.006152,30.04051,-0.09330153,30.11397,-0.06493211,30.20802,0.003236532,
2021/12/08 20:39:23,26975.7628,2.051699,1.00,11.00,0.00,0.00,0.00,0.00,0.2500427,4.191435,1.0480377242745,2.907631,2.898283,-∞,11.10035,10.55466,8625.642,6946.674,,99.68,63.006152,30.0520136778416,-0.0911757725240159,30.1233444511627,-0.0578585757380999,30.2119517857792,0.00698276548092166,
2021/12/08 20:44:23,27275.8093,300.0029,1.00,12.00,0.00,0.00,0.00,0.00,0,4.185245,0,2.907631,2.898283,,11.10035,10.55466,8625.642,6946.674,,99.68,63.006152,30.2916,-0.07731199,30.3721,0.1397103,30.4451,0.1507568,
2021/12/08 20:45:18,27330.8548,55.0037,1.00,13.00,0.00,0.00,0.00,0.00,-0.003051758,4.093585,-0.01249263077243,2.911584,2.987874,3.96453036828676,11.11671,10.88645,8631.068,6996.247,,102.62,64.953783,32.27396,-0.1136208,31.43585,-0.06870151,31.70568,0.008004904,
2021/12/08 20:55:18,27930.8989,600.0017,1.00,14.00,0.00,0.00,0.00,0.00,0,4.12886,0,2.911584,2.987874,,11.11671,10.88645,8631.068,6996.251,,102.62,64.953783,30.5092,0.0141263,30.57565,-0.007822514,30.63463,0.04273534,
2021/12/08 21:06:51,28624.0689,693.1282,1.00,15.00,0.00,0.00,0.00,0.00,0.04999898,4.200008,0.20999611599184,3.005814,2.987874,4.20004537127553,11.51186,10.88645,9323.782,6996.286,,99.4,64.953783,30.30616,-0.01758456,30.02779,-0.09769738,30.07253,-0.06032944,
2021/12/08 21:36:51,30424.1138,1800.0023,1.00,16.00,0.00,0.00,0.00,0.00,0,4.193811,0,3.005814,2.987874,,11.51186,10.88645,9323.782,6996.286,,99.4,64.953783,30.0308,-0.1040864,30.04796,-0.04713297,30.20535,0.0386554,
2021/12/08 21:46:55,31027.3144,54.8122,1.00,21.00,0.00,0.00,10.00,0.00,-7.407074,3.566833,-26.419795976642,3.005814,4.159849,3.33450855088264,11.51186,15.30725,9323.787,7598.96,,138.39,90.4315,35.59893,-0.0496912,33.79004,-0.1263487,34.68078,-0.06735682,
2021/12/08 21:49:55,31207.3664,180.0022,1.00,23.00,0.00,0.00,11.00,0.00,0,3.814381,0,3.005814,4.15987,,11.51186,15.30733,9323.787,7598.97,,138.39,90.431957,33.0233,-0.06159067,31.87112,-0.01886487,32.36248,-0.04817724,
2021/12/08 21:59:58,31810.5807,54.8154,1.00,21.00,0.00,1.00,10.00,0.00,-8.579361,3.077383,-26.401979692263,3.005814,5.484142,,11.51186,19.7307,9323.787,8201.954,,182.45,119.220478,40.11156,-0.06251574,36.5238,0.0006580353,37.77139,-0.05782247,
2021/12/08 22:02:58,31990.6375,180.0045,1.00,23.00,0.00,1.00,11.00,0.00,0,3.395993,0,3.005814,5.484165,,11.51186,19.73077,9323.787,8201.963,,182.45,119.220978,34.92752,-0.06763577,33.26292,-0.02886176,33.63039,-0.09436131,
2021/12/08 22:32:58,33790.6793,1800.0024,1.00,25.00,0.00,2.00,11.00,0.00,0,3.408463,0,3.005814,5.484165,,11.51186,19.73077,9323.787,8201.963,,182.45,119.220978,30.39096,0.1279408,30.12672,-0.05135059,29.98842,-0.09537756,
2021/12/09 00:33:32,40948.9386,7158.217,1.00,26.00,0.00,2.00,11.00,0.00,0.04999255,4.199908,0.2099641106854,5.487377,5.484247,3.8749625703625,21.12708,19.73105,16480.75,8201.997,,99.94,119.222761,30.07727,-0.1107931,30.21407,0.1116782,30.32925,0.1249045,
2021/12/09 01:03:33,42748.9822,1800.0027,1.00,27.00,0.00,2.00,11.00,0.00,0,4.189159,0,5.487377,5.484247,,21.12708,19.73105,16480.75,8201.997,,99.94,119.222761,30.05424,-0.03676414,30.184,-0.06353855,30.36955,-0.02616644,
2021/12/09 01:03:35,42751.0747,2.0516,1.00,28.00,0.00,2.00,11.00,0.00,0.2500318,4.194281,1.0487036281358,5.487377,5.484247,,21.12708,19.73105,16480.75,8201.997,,99.94,119.222761,30.0652953600139,-0.0344569694116369,30.1832089362534,-0.0588482727653935,30.3590391908921,-0.0242157424703429,
2021/12/09 01:08:35,43051.1196,300.0037,1.00,29.00,0.00,2.00,11.00,0.00,0,4.188679,0,5.487377,5.484247,,21.12708,19.73105,16480.75,8201.997,,99.94,119.222761,30.08942,-0.04284859,30.23326,-0.07891536,30.46032,0.1531124,
2021/12/09 01:18:38,43654.3123,54.8122,2.00,21.00,1.00,0.00,10.00,0.00,-7.418571,3.564663,-26.444705556573,5.487377,6.658379,3.33041302026052,21.12708,24.15855,0.0019,602.7837,,121.34,144.74737,35.98838,0.01920342,34.04835,0.09019971,34.56909,0.03124714,
2021/12/09 01:21:38,43834.3627,180.002,2.00,23.00,1.00,0.00,11.00,0.00,0,3.811893,0,5.487377,6.658397,,21.12708,24.15861,0.0019,602.7925,,121.34,144.747761,32.90511,0.03095865,32.12426,-0.06443501,32.54815,-0.00530839,
2021/12/09 01:31:41,44437.5693,54.8164,2.00,21.00,1.00,1.00,10.00,0.00,-8.652184,3.057755,-26.45625888692,5.487377,7.986385,,21.12708,28.58734,0.0019,1205.711,,145.54,173.617065,40.38512,0.1398504,37.00762,-0.05982757,38.06024,-0.1030123,
2021/12/09 01:34:41,44617.6234,180.0037,2.00,23.00,1.00,1.00,11.00,0.00,0,3.373808,0,5.487377,7.986407,,21.12708,28.58741,0.0019,1205.72,,145.54,173.617543,34.64812,-0.1461375,33.0455,-0.03036857,33.6228,0.05042076,
2021/12/09 02:04:41,46417.6599,1800.0025,2.00,25.00,1.00,2.00,11.00,0.00,0,3.387383,0,5.487377,7.986407,,21.12708,28.58741,0.0019,1205.72,,145.54,173.617543,30.15908,-0.06682515,30.28883,0.1107013,30.32662,0.154767,
