Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/09 00:58:48,42277.0515,300.0022,1,30,0,1,7,0,0,4.187799,0,5.549213,5.634886,21.39291,19.47811,15933.81,8153.908,,101.54,122.497522,29.92758,-0.05259931,30.26287,0.01198828,30.28035,0.04067183,
2021/12/09 04:14:56,54045.1013,300.0039,2,30,1,1,7,0,0,4.187659,0,8.03896,8.146612,31.07381,27.58021,6767.696,915.692,,101.34,177.100261,30.01324,-0.05977631,30.12995,-0.05570173,30.16148,-0.02043664,
2021/12/09 07:30:53,65802.3155,300.0031,3,30,2,1,7,0,0,4.187901,0,10.52605,10.65561,40.74407,35.67387,6760.222,912.055,,101.23,231.643696,29.56908,0.01649976,29.5931,0.05356371,29.70214,0.05136847,
2021/12/09 10:46:49,77558.5075,300.0036,4,30,3,1,7,0,0,4.187937,0,13.01287,13.1649,50.41223,43.76676,6759.195,912.1729,,101.17,286.193478,29.83056,0.05862415,29.71391,0.07721961,29.69581,0.08166075,
2021/12/09 14:01:05,89214.8162,300.0031,5,30,4,1,7,0,0,4.188069,0,15.46389,15.63927,59.9519,51.75814,6671.953,899.6574,,101.13,339.98413,29.98067,0.03452659,29.69491,-0.02937675,29.73332,-0.0536716,
2021/12/09 17:14:32,100821.6139,300.0022,6,30,5,1,7,0,0,4.188057,0,17.89576,18.09443,69.42267,59.6989,6622.416,899.2604,,101.11,393.357174,29.82616,-0.06549954,29.66801,-0.0278759,29.77001,-0.003597736,
2021/12/09 20:28:04,112433.6908,300.0014,7,30,6,1,7,0,0,4.188155,0,20.32738,20.54927,78.89223,67.63783,6629.785,896.5467,,101.09,446.723261,30.31297,0.02759397,30.27126,0.02247751,30.13728,-0.04828334,
2021/12/09 23:41:31,124040.4186,300.0041,8,30,7,1,7,0,0,4.188062,0,22.75915,23.00422,88.36243,75.57721,6622.825,898.3156,,101.08,500.091739,30.1767,0.06201029,30.18665,0.01848936,30.12643,0.05380034,
2021/12/10 02:54:46,135635.3114,300.0032,9,30,8,1,7,0,0,4.187989,0,25.19055,25.45843,97.83093,83.51378,6611.552,898.0649,,101.06,553.44413,30.24813,0.03221095,30.22623,-0.002885461,30.15192,-0.03156424,
2021/12/10 06:08:03,147232.537,300.0041,10,30,9,1,7,0,0,4.188141,0,27.62218,27.91267,107.3001,91.44952,6612.227,899.9839,,101.05,606.797174,30.13961,0.05501747,30.27068,0.05628288,30.1964,0.04307389,
2021/12/10 18:35:44,192093.3577,300.0029,11,30,0,1,7,1,0,4.187968,0,5.474942,5.54276,21.12247,19.16082,15297.64,8007.206,,101.24,120.494783,29.88037,0.0269568,29.74093,0.01713097,29.89239,0.03038168,
2021/12/10 21:49:09,203698.7569,300.003,12,30,1,1,7,1,0,4.18817,0,7.907951,7.997833,30.59784,27.09774,6622.939,898.277,,101.14,173.865935,29.96014,-0.0583452,30.07675,-0.03805041,30.12238,0.008261204,
2021/12/11 01:02:31,215300.4308,300.0015,13,30,2,1,7,1,0,4.188383,0,10.34051,10.4527,40.07101,35.03306,6619.552,898.3832,,101.09,227.232609,30.26805,0.1070714,30.07483,-0.009026527,30.02161,-0.0288862,
2021/12/11 04:15:56,226905.8647,300.0033,14,30,3,1,7,1,0,4.188323,0,12.77295,12.90724,49.54335,42.96608,6623.238,898.5292,,101.05,280.592174,30.02564,-0.06916761,30.089,0.02645552,30.18097,0.007293224,
2021/12/11 07:29:24,238513.181,300.0033,15,30,4,1,7,1,0,4.188222,0,15.20507,15.36127,59.01419,50.89665,6625.083,898.3071,,101.03,333.940652,29.97789,-0.07490695,30.14394,0.00181675,30.18959,0.03932416,
2021/12/11 10:42:40,250109.5856,300.0029,16,30,5,1,7,1,0,4.188037,0,17.63662,17.81496,68.48253,58.826,6614.277,897.9103,,101.01,387.281739,30.24961,0.03586054,30.31277,-0.007285476,30.26675,-0.02934217,
2021/12/11 13:56:04,261713.2053,300.0023,17,30,6,1,7,1,0,4.188398,0,20.06818,20.26886,77.95074,66.75534,6620.485,898.6628,,101,440.627391,29.88364,-0.05303025,30.02167,0.006533861,30.21514,0.01536369,
2021/12/11 17:09:30,273319.573099,300.0019,18,30,7,1,7,1,0,4.188301,0,22.49919,22.72243,87.41676,74.68301,6622.864,898.4927,,100.99,493.96587,30.11527,-0.02957165,30.14751,-0.0394851,30.10845,-0.04391789,
2021/12/11 20:22:52,284921.3361,300.0028,19,30,8,1,7,1,0,4.188272,0,24.93005,25.17622,96.88197,82.61102,6618.108,898.3992,,100.99,547.30913,29.95495,-0.02209783,30.10006,0.06058574,30.06098,0.0319314,
2021/12/11 23:36:16,296525.4625,300.0043,20,30,9,1,7,1,0,4.188352,0,27.36086,27.62994,106.3467,90.53831,6620.857,898.0266,,100.98,600.65087,30.11381,0.05760133,30.22613,0.0342232,30.22241,0.01438558,
2021/12/12 12:00:46,341195.0742,300.004,21,30,0,1,7,2,0,4.188077,0,5.429802,5.500134,20.96116,19.02726,15183.93,7943.301,,101.3,119.56813,29.76363,-0.06768048,30.13395,-0.01266718,30.20078,0.01380563,
2021/12/12 15:14:05,352794.3876,300.0023,22,30,1,1,7,2,0,4.188061,0,7.861719,7.95535,30.43123,26.95702,6616.276,897.309,,101.19,172.942391,29.97317,-0.01828611,30.25915,0.05437434,30.27662,0.07425785,
2021/12/12 18:27:24,364393.6677,300.0046,23,30,2,1,7,2,0,4.188181,0,10.29403,10.41017,39.90209,34.88411,6617.817,896.7395,,101.13,226.308043,30.08968,-0.0003916025,30.21269,0.03901362,30.25132,0.03682375,
2021/12/12 21:40:45,375994.805,300.0022,24,30,3,1,7,2,0,4.188146,0,12.726,12.86445,49.37127,42.80875,6618.543,898.2747,,101.09,279.661957,30.13278,0.06439328,30.20034,0.03489912,30.17543,0.02608895,
2021/12/13 00:54:06,387595.7924,300.0032,25,30,4,1,7,2,0,4.188166,0,15.1581,15.31895,58.84058,50.73317,6618.873,897.9182,,101.06,333.020652,30.26231,0.05230486,30.0832,0.003042817,30.10059,-0.01019359,
2021/12/13 04:07:29,399198.3413,300.0034,26,30,5,1,7,2,0,4.188427,0,17.5899,17.77286,68.30858,58.65532,6620.676,897.5744,,101.04,386.366522,29.934,-0.05206943,30.00581,-0.01618505,30.25148,0.03001094,
2021/12/13 07:20:43,410792.9078,300.0048,27,30,6,1,7,2,0,4.18833,0,20.02127,20.2264,77.7747,66.57572,6612.161,898.001,,101.02,439.704348,29.52054,0.01004934,29.50044,-0.08241534,29.58118,-0.08685529,
