Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/08 14:14:10,3600.0041,3600.004,1.00,1.00,0.00,0.00,0.00,0.00,0,4.166518,0,0,0,,0,0,0,0,,0,0,29.73279,-0.03716469,29.68654,0.01226842,29.78147,0.03656328,
2021/12/08 14:21:08,4017.0606,417.0155,1.00,2.00,0.00,0.00,0.00,0.00,0.04999107,4.199951,0.20996004443757,0.03054797,0.0003087877,4.19991819601424,0.1282995,0.001286782,416.9196,0.0546,,1.01,0.006713,30.05233,0.04443586,29.68202,-0.03682733,29.72043,-0.03463626,
2021/12/08 14:51:08,5817.1167,1800.0031,1.00,4.00,0.00,0.00,0.00,0.00,0,4.19432,0,7.763119E-08,0,,3.259795E-07,0,416.9326,0.0546,,0,0,29.84598,0.006175637,29.71525,-0.04136682,29.81019,-0.05684257,
2021/12/08 16:51:00,13009.6396,7192.4811,1.00,5.00,0.00,0.00,0.00,0.00,-1.50164,2.499979,-3.75406846556,1.031386E-07,2.999898,3.66646796125275,4.329741E-07,10.93226,416.9349,7191.79,,2908608800,65.215174,31.83211,0.08114457,31.32626,-0.06419241,31.23857,-0.05763352,
2021/12/08 17:21:00,14809.6939,1800.0013,1.00,7.00,0.00,0.00,0.00,0.00,0,2.876961,0,1.031386E-07,2.999901,,4.329741E-07,10.93227,416.9349,7191.796,,2908611600,65.215239,29.85161,0.01156151,29.83388,0.04593492,29.83703,0.03270328,
2021/12/08 19:34:33,22822.8999,8013.1657,1.00,8.00,0.00,0.00,0.00,0.00,0.04998207,4.199922,0.20992079539854,2.937553,2.999916,3.80540615217662,11.19407,10.93231,8429.128,7191.844,,102.12,65.215565,30.52645,0.05977631,30.39034,-0.004131794,30.28085,-0.03941834,
2021/12/08 19:39:33,23122.9439,300.0031,1.00,9.00,0.00,0.00,0.00,0.00,0,4.194073,0,2.937553,2.999916,,11.19407,10.93231,8429.133,7191.844,,102.12,65.215565,30.34815,0.05966961,30.48667,0.05275905,30.34196,0.008685589,
2021/12/08 20:44:34,27023.6895,3600.0028,1.00,11.00,0.00,0.00,0.00,0.00,0,4.18524,0,2.937553,2.999916,,11.19407,10.93231,8429.133,7191.844,,102.12,65.215565,30.33036,0.09357512,30.41948,0.05981147,30.28884,0.02236366,
2021/12/08 20:44:36,27025.7783,2.0476,1.00,12.00,0.00,0.00,0.00,0.00,0.2500242,4.190319,1.0476811557198,2.937553,2.999916,-∞,11.19407,10.93231,8429.133,7191.844,,102.12,65.215565,30.3225498434983,0.0885966379245818,30.418768946623,0.0564059946615916,30.2933473723998,0.0202163211620784,
2021/12/08 20:49:36,27325.8238,300.0018,1.00,13.00,0.00,0.00,0.00,0.00,0,4.185167,0,2.937553,2.999916,,11.19407,10.93231,8429.133,7191.844,,102.12,65.215565,30.1757,-0.01387477,30.29979,-0.05643964,30.27493,-0.05427361,
