Device_ID,Channel_ID,Test_Time,Step_ID,Cycle_ID,EIS_Test_ID,EIS_Data_Point,Frequency,Zmod,Zphz,Zreal,Zimg,OCV,AC_Amp_RMS,DC_Base,Driven_Type,Product_ID
25925825,8,26798.5552,11,1,0,0,0.1001,0.0228,-7.9291,0.0226,-0.0032,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,1,0.1335,0.0224,-6.8570,0.0223,-0.0027,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,2,0.1781,0.0220,-5.9834,0.0219,-0.0023,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,3,0.2372,0.0217,-5.2844,0.0216,-0.0020,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,4,0.3167,0.0214,-4.6005,0.0213,-0.0017,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,5,0.4231,0.0212,-4.1796,0.0211,-0.0015,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,6,0.5634,0.0211,-3.7309,0.0210,-0.0014,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,7,0.7512,0.0208,-3.2684,0.0208,-0.0012,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,8,1.0016,0.0207,-3.0256,0.0207,-0.0011,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,9,1.3470,0.0206,-3.0602,0.0205,-0.0011,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,10,1.7589,0.0204,-2.9991,0.0204,-0.0011,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,11,2.3916,0.0203,-3.1748,0.0203,-0.0011,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,12,3.1672,0.0201,-3.4478,0.0201,-0.0012,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,13,4.2344,0.0199,-3.7486,0.0199,-0.0013,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,14,5.5804,0.0197,-4.1722,0.0196,-0.0014,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,15,7.4405,0.0194,-4.4833,0.0193,-0.0015,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,16,9.9102,0.0190,-4.7830,0.0190,-0.0016,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,17,13.3168,0.0187,-4.8984,0.0186,-0.0016,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,18,17.7557,0.0184,-4.8991,0.0183,-0.0016,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,19,23.9158,0.0180,-4.8254,0.0180,-0.0015,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,20,31.8878,0.0177,-4.6774,0.0177,-0.0014,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,21,42.6136,0.0175,-4.6673,0.0174,-0.0014,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,22,54.5058,0.0172,-4.4432,0.0172,-0.0013,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,23,74.4048,0.0170,-4.4277,0.0169,-0.0013,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,24,99.7340,0.0167,-4.3341,0.0167,-0.0013,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,25,133.9286,0.0165,-4.1984,0.0164,-0.0012,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,26,178.0063,0.0162,-3.9780,0.0162,-0.0011,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,27,238.3475,0.0160,-3.8128,0.0160,-0.0011,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,28,319.6023,0.0157,-3.5125,0.0157,-0.0010,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,29,418.5268,0.0155,-3.1074,0.0155,-0.0008,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,30,558.0357,0.0153,-2.4583,0.0152,-0.0007,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,31,745.7386,0.0150,-1.6922,0.0150,-0.0004,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,32,1004.4640,0.0148,-0.4622,0.0148,-0.0001,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,33,1324.7280,0.0146,1.0254,0.0146,0.0003,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,34,1770.8330,0.0144,3.1164,0.0144,0.0008,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,35,2343.7500,0.0144,5.7225,0.0143,0.0014,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,36,3164.0630,0.0144,9.2038,0.0142,0.0023,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,37,4230.1830,0.0146,13.3457,0.0142,0.0034,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,38,5602.1340,0.0151,18.0903,0.0143,0.0047,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,26798.5552,11,1,0,39,7431.4020,0.0159,23.5005,0.0146,0.0063,4.1852,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,0,0.1001,0.0230,-7.9034,0.0227,-0.0032,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,1,0.1335,0.0225,-6.8941,0.0224,-0.0027,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,2,0.1781,0.0221,-6.0468,0.0220,-0.0023,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,3,0.2372,0.0218,-5.3718,0.0217,-0.0020,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,4,0.3167,0.0215,-4.7459,0.0215,-0.0018,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,5,0.4231,0.0213,-4.3254,0.0213,-0.0016,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,6,0.5634,0.0211,-3.7420,0.0211,-0.0014,4.1857,0.25,0,Galvanostatic,Gamry_1
25925825,8,43762.623,11,2,1,7,0.7512,0.0210,-3.4381,0.0209,-0.0013,4.1857,0.25,0,Galvanostatic,Gamry_1
