Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Mean_Voltage(V),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C)
2021/11/20 09:21:51,1800.003,1800.003,1.00,1.00,0.00,0.00,0.00,0.00,0,3.535974,0,0,0,,0,0,0,0,,0,0,25.43843,0.09518266,
2021/11/20 11:13:08,8476.8948,6676.8501,1.00,2.00,0.00,0.00,0.00,0.00,0.04999101,4.199963,0.20996039233263,2.27804,0.0001536697,3.93173387702245,8.950218,0.0005433871,6675.846,0.0662,,0.01,0.003341,25.3387,-0.05825818,
2021/11/20 11:43:08,10276.9413,1800.0017,1.00,3.00,0.00,0.00,0.00,0.00,0,4.18587,0,2.27804,0.0001536697,,8.950218,0.0005433871,6675.851,0.0662,,0.01,0.003341,25.44162,-0.07212698,
2021/11/20 12:44:00,13928.9687,3651.9813,1.00,4.00,0.00,0.00,0.00,0.00,-3.005341,2.499964,-7.513244307724,2.27804,3.048054,3.5986096750377,8.950218,10.90751,6675.851,3651.728,,133.8,66.262043,31.39038,0.02438903,
2021/11/20 13:14:00,15729.0309,1800.0047,1.00,6.00,0.00,0.00,0.00,0.00,0,2.952991,0,2.27804,3.04806,,8.950218,10.90753,6675.851,3651.735,,133.8,66.262174,25.4337,-0.07984579,
2021/11/20 15:32:36,24044.8435,8315.7675,1.00,7.00,0.00,0.00,0.00,0.00,0.04999792,4.200213,0.21000191355696,5.299038,3.048092,3.80661847772854,20.48133,10.90762,14990.78,3651.79,,57.52,66.26287,25.29305,-0.08408368,
2021/11/20 16:02:36,25844.8961,1800.0031,1.00,8.00,0.00,0.00,0.00,0.00,0,4.186787,0,5.299038,3.048092,,20.48133,10.90762,14990.78,3651.79,,57.52,66.26287,25.19178,-0.1016802,
2021/11/20 16:02:38,25847.0163,2.071,1.00,9.00,0.00,0.00,0.00,0.00,0.249997,4.192095,1.048011173715,5.299038,3.048092,-∞,20.48133,10.90762,14990.78,3651.79,,57.52,66.26287,25.1931421749495,-0.100176195831317,
2021/11/20 16:12:38,26447.0651,600.003,1.00,10.00,0.00,0.00,0.00,0.00,0,4.185354,0,5.299038,3.048092,,20.48133,10.90762,14990.78,3651.79,,57.52,66.26287,25.25215,-0.05549192,
2021/11/20 16:28:32,27400.4694,600.0032,1.00,12.00,0.00,0.00,0.00,0.00,0,4.183948,0,5.299038,3.048092,,20.48133,10.90762,14990.78,3651.79,,57.52,66.26287,25.46215,0.06756961,
2021/11/20 17:28:26,30994.6162,3594.1009,1.00,13.00,0.00,0.00,0.00,0.00,-3.052208,2.499957,-7.630388755056,5.299038,6.095067,3.59646835780452,20.48133,21.80777,14990.78,7245.49,,115.02,132.501457,30.97891,-0.07442832,
2021/11/20 17:58:26,32794.678699,1800.0029,1.00,15.00,0.00,0.00,0.00,0.00,0,2.941859,0,5.299038,7.885903E-06,,20.48133,21.8078,14990.78,7245.505,,0,0.000171,25.09068,-0.0694859,
2021/11/20 20:16:29,41077.772,8283.0329,2.00,7.00,0.00,0.00,0.00,0.00,0.04999072,4.199993,0.20996067406496,8.316293,3.793236E-05,3.80643075926593,31.99524,21.80789,8282.21,0.0462,,0,0.000825,25.29109,-0.1061088,
2021/11/20 20:46:29,42877.8191,1800.0044,2.00,8.00,0.00,0.00,0.00,0.00,0,4.186821,0,8.316293,3.793236E-05,,31.99524,21.80789,8282.21,0.0462,,0,0.000825,25.3875,0.06353259,
2021/11/20 20:46:31,42879.9159,2.054399,2.00,9.00,0.00,0.00,0.00,0.00,0.2499774,4.191976,1.0478992613424,8.316293,3.793236E-05,-∞,31.99524,21.80789,8282.21,0.0462,,0,0.000825,25.3891773347237,0.0650921573352709,
2021/11/20 20:56:31,43479.9632,600.0045,2.00,10.00,0.00,0.00,0.00,0.00,0,4.185709,0,8.316293,3.793236E-05,,31.99524,21.80789,8282.21,0.0462,,0,0.000825,25.4728,0.084728,
2021/11/20 21:11:19,44367.8163,600.0023,2.00,12.00,0.00,0.00,0.00,0.00,0,4.184879,0,8.316293,3.793236E-05,,31.99524,21.80789,8282.21,0.0462,,0,0.000825,25.13946,-0.01512229,
2021/11/20 22:11:03,47951.8499,3583.989,2.00,13.00,0.00,0.00,0.00,0.00,-3.052071,2.499996,-7.630165291716,8.316293,3.038504,3.59801011937483,31.99524,32.68313,8282.247,3583.543,,36.54,66.054435,31.28344,0.1118612,
2021/11/20 22:41:03,49751.9081,1800.0044,2.00,15.00,0.00,0.00,0.00,0.00,0,2.93916,0,8.316293,3.982485E-06,,31.99524,32.68315,8282.247,3583.552,,0,8.7E-05,25.50492,0.08018076,
2021/11/21 00:58:36,58004.7651,8252.8029,3.00,7.00,0.00,0.00,0.00,0.00,0.04999588,4.200123,0.20998884549324,11.32415,3.374342E-05,3.80721470805489,43.47405,32.68324,8251.491,0.0476,,0,0.000734,25.73939,0.06892562,
2021/11/21 01:28:36,59804.8111,1800.0028,3.00,8.00,0.00,0.00,0.00,0.00,0,4.187036,0,11.32415,3.374342E-05,,43.47405,32.68324,8251.491,0.0476,,0,0.000734,25.50826,-0.05090535,
2021/11/21 01:28:38,59806.909,2.057,3.00,9.00,0.00,0.00,0.00,0.00,0.2499741,4.192212,1.0479444217092,11.32415,3.374342E-05,,43.47405,32.68324,8251.491,0.0476,,0,0.000734,25.513113424309,-0.0468821792505729,
