Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah),MetaCode_MV_UD1,MetaCode_MV_UD2,MetaCode_MV_UD3,MetaCode_MV_UD4,MetaCode_MV_UD5,MetaCode_MV_UD6,MetaCode_MV_UD7,MetaCode_MV_UD8,MetaCode_MV_UD9,MetaCode_MV_UD10,MetaCode_MV_UD11,MetaCode_MV_UD12,MetaCode_MV_UD13,MetaCode_MV_UD14,MetaCode_MV_UD15,MetaCode_MV_UD16,Aux_Temperature_1(C),Aux_dT/dt_1(C)
1,2021/11/24 09:09:21,30.0005,30.0005,1,1,0,0,0,0,0,4.175988,0,0,0,0,0,,0.000000237090901578085,,,,3,-0.5,0.5,4.19999980926514,2.5,0.0500000007450581,3.59999990463257,0,0,0,0,0,0,0,0,0,24.9106,-0.0902015
2,2021/11/24 09:09:51,60.0008,60.0008,1,1,0,0,0,0,0,4.175836,0,0,0,0,0,,-0.00000284469001599064,,,,,,,,,,,,,,,,,,,,25.2308,0.08661747
3,2021/11/24 09:10:21,90.0022,90.0022,1,1,0,0,0,0,0,4.175878,0,0,0,0,0,,-0.0000406992512580473,,,,,,,,,,,,,,,,,,,,25.2365,0.06715059
4,2021/11/24 09:10:51,120.0006,120.0006,1,1,0,0,0,0,0,4.175934,0,0,0,0,0,,0.000000158047498644009,,,,,,,,,,,,,,,,,,,,25.21316,0.05362451
5,2021/11/24 09:11:21,150.0002,150.0002,1,1,0,0,0,0,0,4.175711,0,0,0,0,0,,0.00000908720267034369,,0,0,,,,,,,,,,,,,,,,,25.07657,0.003467202
6,2021/11/24 09:11:51,180.0008,180.0008,1,1,0,0,0,0,0,4.175883,0,0,0,0,0,,0.00000379339098799392,,,,,,,,,,,,,,,,,,,,25.25583,0.06055534
7,2021/11/24 09:12:21,210.001,210.001,1,1,0,0,0,0,0,4.17584,0,0,0,0,0,,0.00000403024387196638,,,,,,,,,,,,,,,,,,,,25.09077,-0.06304801
8,2021/11/24 09:12:51,240.0003,240.0003,1,1,0,0,0,0,0,4.175524,0,0,0,0,0,,-0.0000241040397668257,,,,,,,,,,,,,,,,,,,,24.96641,-0.09319603
9,2021/11/24 09:13:21,270.0018,270.0018,1,1,0,0,0,0,0,4.175881,0,0,0,0,0,,0.0000101935602287995,,0,0,,,,,,,,,,,,,,,,,24.96955,-0.10324
10,2021/11/24 09:13:51,300.0021,300.0021,1,1,0,0,0,0,0,4.175744,0,0,0,0,0,,0.00000395099095840123,,,,,,,,,,,,,,,,,,,,25.3409,0.08865595
