HG2_600_1 - Time [s],HG2_600_2 - Power [W],HG2_600_3 - Time [s],HG2_600_4 - Energy [Wh],HG2_450_1 - Time [s],HG2_450_2 - Power [W],HG2_450_3 - Time [s],HG2_450_4 - Energy [Wh],Pack_1 - Time [s],Pack_2 - Power [W],Pack_3 - Time [s],Pack_4 - Energy [Wh]
0,-18.98128923,0,2.37E-05,0,-20.15209772,0,2.52E-05,0,-10781.37228,0,0.013474702
0.01,-19.21746096,0.01,7.68E-05,0.01,-20.40283705,0.01,8.15E-05,0.01,-10915.51782,0.01,0.043623239
0.02,-19.29514478,0.02,0.000130342,0.02,-20.48531259,0.02,0.000138381,0.02,-10959.64224,0.02,0.074034048
0.03,-19.23094414,0.03,0.000183863,0.03,-20.41715191,0.03,0.000195204,0.03,-10923.17627,0.03,0.104434169
0.04,-19.12189999,0.04,0.000237139,0.04,-20.30138168,0.04,0.000251766,0.04,-10861.2392,0.04,0.134695025
0.05,-19.07300469,0.05,0.000290142,0.05,-20.2494704,0.05,0.000308039,0.05,-10833.46666,0.05,0.164800892
0.06,-19.22860366,0.06,0.000343305,0.06,-20.41466706,0.06,0.00036448,0.06,-10921.84688,0.06,0.194996982
0.07,-19.50533185,0.07,0.000397113,0.07,-20.70846447,0.07,0.000421607,0.07,-11079.02849,0.07,0.225559929
0.08,-19.75399975,0.08,0.000451675,0.08,-20.97247077,0.08,0.000479536,0.08,-11220.27186,0.08,0.256551575
0.09,-19.90687233,0.09,0.000506792,0.09,-21.13477287,0.09,0.000538052,0.09,-11307.10349,0.09,0.287857761
0.1,-19.99806914,0.1,0.000562228,0.1,-21.2315949,0.1,0.000596908,0.1,-11358.90327,0.1,0.319345749
0.11,-20.08418099,0.11,0.0006179,0.11,-21.32301832,0.11,0.000656014,0.11,-11407.8148,0.11,0.350967418
0.12,-20.24163851,0.12,0.000673912,0.12,-21.49018818,0.12,0.000715481,0.12,-11497.25068,0.12,0.382782241
0.13,-20.35679569,0.13,0.000730328,0.13,-21.61244851,0.13,0.000775377,0.13,-11562.65995,0.13,0.414826521
0.14,-20.38654443,0.14,0.000786933,0.14,-21.64403222,0.14,0.000835473,0.14,-11579.55724,0.14,0.446977836
0.15,-20.37773227,0.15,0.000843563,0.15,-21.63467651,0.15,0.000895596,0.15,-11574.55193,0.15,0.479143615
0.16,-20.36875881,0.16,0.000900126,0.16,-21.62514954,0.16,0.000955647,0.16,-11569.455,0.16,0.511271299
0.17,-20.53932704,0.17,0.000956909,0.17,-21.8062388,0.17,0.001015934,0.17,-11666.33776,0.17,0.543524517
0.18,-20.84024485,0.18,0.00101439,0.18,-22.1257179,0.18,0.001076959,0.18,-11837.25908,0.18,0.576173301
0.19,-21.15215353,0.19,0.001072734,0.19,-22.45686581,0.19,0.001138902,0.19,-12014.42321,0.19,0.609312673
0.2,-21.37698857,0.2,0.001131852,0.2,-22.69556917,0.2,0.001201667,0.2,-12142.12951,0.2,0.642891868
0.21,-21.46416573,0.21,0.001191385,0.21,-22.78812361,0.21,0.001264872,0.21,-12191.64613,0.21,0.676706546
